,"SLM (BLS) + TIE, SLM (BLS) + EDV","SLM (OLS), SLM (OLS) + RST, SLM (OLS) + RWT","SLM (BLS), SLM (BLS) + RST, SLM (BLS) + RWT",SLM (OLS) + EDV
0,1,285,233,11
1,3,343,378,2
2,3,378,412,5
3,6,442,218,1
4,1,348,365,1
5,1,404,82,1
6,3,487,264,7
7,9,334,254,1
8,136,485,460,3
9,1,256,309,4
10,1,496,480,1
11,3,400,408,1
12,1,477,315,1
13,2,260,313,2
14,1,351,248,1
15,2,280,483,1
16,1,318,362,1
17,2,474,464,1
18,1,239,429,2
19,1,442,188,1
20,3,240,250,1
21,1,219,320,1
22,2,486,302,3
23,6,462,474,4
24,1,346,242,4
25,1,282,431,1
26,13,396,429,1
27,11,440,104,1
28,5,20,310,7
29,2,317,438,1
