,MLP (ADAM),MLP (SGD)
0,"{'solver': 'adam', 'learning_rate_init': 3.193261668682858, 'activation': 'tanh', 'hidden_layer_sizes': (59, 169, 26, 153), 'alpha': 6.3471003051350845, 'max_iter': 275, 'batch_size': 135, 'shuffle': True, 'beta_1': 0.4503868624163378, 'beta_2': 0.7893413040593095}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 3.7852922725118496, 'activation': 'relu', 'hidden_layer_sizes': (103,), 'alpha': 4.959315097349463, 'max_iter': 482, 'batch_size': 1397, 'shuffle': False, 'momentum': 0.033595937295688376, 'nesterovs_momentum': False}"
1,"{'solver': 'adam', 'learning_rate_init': 2.007741891983803, 'activation': 'relu', 'hidden_layer_sizes': (158,), 'alpha': 8.981293406924248, 'max_iter': 419, 'batch_size': 70, 'shuffle': True, 'beta_1': 0.7020768439483992, 'beta_2': 0.3178177464640322}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 5.821936338762496, 'activation': 'logistic', 'hidden_layer_sizes': (30, 95, 163), 'alpha': 3.670503498062822, 'max_iter': 116, 'batch_size': 948, 'shuffle': True, 'momentum': 0.5491024202082488, 'nesterovs_momentum': False}"
2,"{'solver': 'adam', 'learning_rate_init': 0.06576838926458309, 'activation': 'logistic', 'hidden_layer_sizes': (42, 16), 'alpha': 6.166357381488697, 'max_iter': 414, 'batch_size': 1742, 'shuffle': False, 'beta_1': 0.09194574615319519, 'beta_2': 0.763563743616663}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 2.3497765387654743, 'activation': 'logistic', 'hidden_layer_sizes': (18, 38), 'alpha': 5.096119218613792, 'max_iter': 223, 'batch_size': 297, 'shuffle': False, 'momentum': 0.15111196964551676, 'nesterovs_momentum': True}"
3,"{'solver': 'adam', 'learning_rate_init': 4.835970875958339, 'activation': 'logistic', 'hidden_layer_sizes': (52, 92, 143, 151), 'alpha': 0.8555257669966267, 'max_iter': 278, 'batch_size': 1793, 'shuffle': False, 'beta_1': 0.4774905691726226, 'beta_2': 0.7849740743445025}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.25399450568458687, 'activation': 'tanh', 'hidden_layer_sizes': (69, 191, 92), 'alpha': 8.774522196359404, 'max_iter': 74, 'batch_size': 630, 'shuffle': False, 'momentum': 0.3672950493110657, 'nesterovs_momentum': True}"
4,"{'solver': 'adam', 'learning_rate_init': 0.8502529992275619, 'activation': 'logistic', 'hidden_layer_sizes': (133, 111, 66), 'alpha': 6.226572179301915, 'max_iter': 486, 'batch_size': 902, 'shuffle': True, 'beta_1': 0.35239345430011365, 'beta_2': 0.7684471254945868}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 4.273206330777731, 'activation': 'tanh', 'hidden_layer_sizes': (51,), 'alpha': 3.907853810652544, 'max_iter': 174, 'batch_size': 216, 'shuffle': False, 'momentum': 0.5077457017751613, 'nesterovs_momentum': True}"
5,"{'solver': 'adam', 'learning_rate_init': 3.549787328302278, 'activation': 'relu', 'hidden_layer_sizes': (143, 162, 49, 36, 60), 'alpha': 4.302823188112276, 'max_iter': 61, 'batch_size': 406, 'shuffle': False, 'beta_1': 0.5923201563642002, 'beta_2': 0.5441130014684561}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 4.138071484431697, 'activation': 'logistic', 'hidden_layer_sizes': (33, 63, 63), 'alpha': 3.7383675205594527, 'max_iter': 424, 'batch_size': 1203, 'shuffle': False, 'momentum': 0.21460787770501485, 'nesterovs_momentum': False}"
6,"{'solver': 'adam', 'learning_rate_init': 1.2971782532519311, 'activation': 'logistic', 'hidden_layer_sizes': (35, 126, 130), 'alpha': 6.300118462853104, 'max_iter': 173, 'batch_size': 706, 'shuffle': True, 'beta_1': 0.26214546200369665, 'beta_2': 0.8487455997412566}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 3.755399767306081, 'activation': 'logistic', 'hidden_layer_sizes': (108, 134, 21, 26, 37), 'alpha': 8.801448164654586, 'max_iter': 195, 'batch_size': 1198, 'shuffle': True, 'momentum': 0.7997631963819436, 'nesterovs_momentum': False}"
7,"{'solver': 'adam', 'learning_rate_init': 4.667899829957419, 'activation': 'logistic', 'hidden_layer_sizes': (51, 150, 40, 183), 'alpha': 0.21055257158381122, 'max_iter': 396, 'batch_size': 415, 'shuffle': True, 'beta_1': 0.9856104507551982, 'beta_2': 0.04181012555110065}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.5394828950620396, 'activation': 'relu', 'hidden_layer_sizes': (39,), 'alpha': 0.265891462960286, 'max_iter': 298, 'batch_size': 1086, 'shuffle': False, 'momentum': 0.7490705538799801, 'nesterovs_momentum': True}"
8,"{'solver': 'adam', 'learning_rate_init': 8.735435117263773, 'activation': 'tanh', 'hidden_layer_sizes': (7, 31, 78, 6, 158), 'alpha': 8.64748241759455, 'max_iter': 304, 'batch_size': 1649, 'shuffle': False, 'beta_1': 0.5454951723985205, 'beta_2': 0.4878708547392136}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 4.334105639869292, 'activation': 'logistic', 'hidden_layer_sizes': (25, 62, 138, 151, 69), 'alpha': 7.6289084550281405, 'max_iter': 274, 'batch_size': 446, 'shuffle': True, 'momentum': 0.5558465799184648, 'nesterovs_momentum': True}"
9,"{'solver': 'adam', 'learning_rate_init': 3.2421456574539036, 'activation': 'tanh', 'hidden_layer_sizes': (133, 44, 19, 199), 'alpha': 2.734168433439412, 'max_iter': 217, 'batch_size': 1183, 'shuffle': False, 'beta_1': 0.05655407780584911, 'beta_2': 0.7722603165091648}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 3.347274833542606, 'activation': 'logistic', 'hidden_layer_sizes': (45, 171, 160), 'alpha': 0.5494335555766432, 'max_iter': 191, 'batch_size': 355, 'shuffle': False, 'momentum': 0.11023611864609552, 'nesterovs_momentum': False}"
