,MLP (SGD)
0,0.033595937295688376
1,0.5491024202082488
2,0.15111196964551676
3,0.3672950493110657
4,0.5077457017751613
5,0.21460787770501485
6,0.7997631963819436
7,0.7490705538799801
8,0.5558465799184648
9,0.11023611864609552
10,0.09535269762504554
11,0.890866241793184
12,0.1631412520700934
13,0.5694969501106857
14,0.9115824052784774
15,0.059349027525211054
16,0.9072073511686968
17,0.25825644433072037
18,0.4009865429799682
19,0.9147109043740526
20,0.3711592836485227
21,0.6192872160950319
22,0.5428575923170612
23,0.2508342526574076
24,0.7294493691441114
25,0.15188823293215992
26,0.7766010883395366
27,0.7120763286260579
28,0.21560888389978988
29,0.3878954323670494
