,"SLM (BLS) + TIE, SLM (BLS) + EDV","SLM (OLS), SLM (OLS) + RST, SLM (OLS) + RWT","SLM (BLS), SLM (BLS) + RST, SLM (BLS) + RWT",SLM (OLS) + EDV
0,142,766389,1054,57
1,74,117326,474,200
2,132,41975,473,142
3,219,800,381,244
4,58,154243,480,256
5,147,21089,1206,222
6,92,309216,870,304
7,80,255519,723,262
8,108,147760,594,231
9,55,117273,3265,179
10,156,294832,1311,579
11,84,130276,319,251
12,141,140231,706,180
13,47,62638,1271,163
14,152,82642,222,100
15,87,85532,603,145
16,230,75566,1130,251
17,249,155405,237,246
18,105,10634,809,210
19,746,95564,615,212
20,81,228910,292,237
21,23,652691,669,185
22,69,94439,731,114
23,216,120486,501,193
24,167,3743,402,225
25,61,276370,270,158
26,93,3066,1364,435
27,78,26867,740,203
28,114,602972,1326,209
29,307,597416,154,168
