,"SLM (BLS) + TIE, SLM (BLS) + EDV","SLM (OLS), SLM (OLS) + RST, SLM (OLS) + RWT","SLM (BLS), SLM (BLS) + RST, SLM (BLS) + RWT",SLM (OLS) + EDV
0,1,459,469,2
1,1,170,413,2
2,1,120,218,2
3,5,11,445,2
4,1,200,219,3
5,1,169,258,3
6,1,426,397,3
7,1,314,270,3
8,1,229,221,4
9,3,205,183,2
10,1,413,401,10
11,1,188,11,4
12,2,297,235,2
13,2,187,409,2
14,1,144,39,2
15,2,226,33,2
16,4,169,426,3
17,2,236,205,2
18,1,106,349,4
19,38,182,216,2
20,1,248,191,3
21,1,415,431,2
22,1,232,314,2
23,2,204,331,2
24,1,29,110,3
25,2,334,26,2
26,1,22,175,7
27,1,120,284,2
28,1,476,356,2
29,16,470,72,4
