,"SLM (BLS) + TIE, SLM (BLS) + EDV","SLM (OLS), SLM (OLS) + RST, SLM (OLS) + RWT","SLM (BLS), SLM (BLS) + RST, SLM (BLS) + RWT",SLM (OLS) + EDV
0,19,4112,86,3
1,13,1545,33,25
2,18,850,50,12
3,24,63,25,24
4,5,1799,47,27
5,22,502,96,33
6,6,2148,50,28
7,15,2167,77,17
8,12,1643,44,25
9,4,1446,202,25
10,16,2097,79,35
11,12,1680,42,27
12,24,1477,52,20
13,11,933,111,28
14,21,1303,16,11
15,6,1132,63,15
16,32,1169,104,23
17,37,1644,27,21
18,23,316,46,14
19,39,1284,63,28
20,10,2234,15,31
21,2,3766,86,31
22,14,1174,42,16
23,18,1443,55,21
24,15,211,48,23
25,3,2311,26,13
26,17,213,88,29
27,10,593,83,28
28,21,3360,86,20
29,16,3298,11,25
