,MLP (ADAM),MLP (SGD)
0,"{'solver': 'adam', 'learning_rate_init': 8.589059068778568, 'activation': 'tanh', 'hidden_layer_sizes': (31, 13, 129, 72, 65), 'alpha': 0.15699340815150628, 'max_iter': 424, 'batch_size': 1096, 'shuffle': True, 'beta_1': 0.048385986524822566, 'beta_2': 0.13869730775048125}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.7902445699036171, 'activation': 'tanh', 'hidden_layer_sizes': (23, 185), 'alpha': 7.35255009240571, 'max_iter': 133, 'batch_size': 983, 'shuffle': True, 'momentum': 0.8592406428169133, 'nesterovs_momentum': True}"
1,"{'solver': 'adam', 'learning_rate_init': 3.6335116087956845, 'activation': 'tanh', 'hidden_layer_sizes': (31, 58, 153), 'alpha': 3.1100490326152426, 'max_iter': 398, 'batch_size': 346, 'shuffle': True, 'beta_1': 0.7684400307869161, 'beta_2': 0.42081178110232165}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 9.808982475490145, 'activation': 'tanh', 'hidden_layer_sizes': (115, 121, 4, 97), 'alpha': 5.956458116136733, 'max_iter': 34, 'batch_size': 207, 'shuffle': False, 'momentum': 0.35242113249377227, 'nesterovs_momentum': False}"
2,"{'solver': 'adam', 'learning_rate_init': 4.778187848988533, 'activation': 'relu', 'hidden_layer_sizes': (35,), 'alpha': 6.562139051959458, 'max_iter': 80, 'batch_size': 865, 'shuffle': True, 'beta_1': 0.08855693183683078, 'beta_2': 0.8926613381155715}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 4.995828771545911, 'activation': 'logistic', 'hidden_layer_sizes': (196, 155, 177, 39), 'alpha': 9.7857460997674, 'max_iter': 451, 'batch_size': 119, 'shuffle': True, 'momentum': 0.9228082939642737, 'nesterovs_momentum': False}"
3,"{'solver': 'adam', 'learning_rate_init': 4.899292403286466, 'activation': 'relu', 'hidden_layer_sizes': (129, 101, 142), 'alpha': 3.589265264847088, 'max_iter': 89, 'batch_size': 512, 'shuffle': True, 'beta_1': 0.775038648988174, 'beta_2': 0.285937526533643}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.0645782147828867, 'activation': 'logistic', 'hidden_layer_sizes': (72, 147, 28, 4), 'alpha': 5.5116627247149745, 'max_iter': 257, 'batch_size': 1150, 'shuffle': True, 'momentum': 0.7959026761651109, 'nesterovs_momentum': False}"
4,"{'solver': 'adam', 'learning_rate_init': 2.920714185990026, 'activation': 'logistic', 'hidden_layer_sizes': (65,), 'alpha': 6.86040838830969, 'max_iter': 494, 'batch_size': 952, 'shuffle': True, 'beta_1': 0.0940159684487138, 'beta_2': 0.6055025473873682}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 2.6268751315985743, 'activation': 'relu', 'hidden_layer_sizes': (136,), 'alpha': 1.7136739106728511, 'max_iter': 239, 'batch_size': 1463, 'shuffle': False, 'momentum': 0.22148078821830516, 'nesterovs_momentum': False}"
5,"{'solver': 'adam', 'learning_rate_init': 4.634559405191617, 'activation': 'tanh', 'hidden_layer_sizes': (113, 66, 157), 'alpha': 6.000510133239959, 'max_iter': 239, 'batch_size': 339, 'shuffle': False, 'beta_1': 0.843537609291965, 'beta_2': 0.8733016734175397}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 8.355522010675848, 'activation': 'logistic', 'hidden_layer_sizes': (84, 155, 128, 171), 'alpha': 0.21216319710986672, 'max_iter': 259, 'batch_size': 797, 'shuffle': True, 'momentum': 0.7459921840126673, 'nesterovs_momentum': True}"
6,"{'solver': 'adam', 'learning_rate_init': 6.940196120812697, 'activation': 'relu', 'hidden_layer_sizes': (112, 112, 169), 'alpha': 8.923601157718755, 'max_iter': 227, 'batch_size': 1336, 'shuffle': False, 'beta_1': 0.5714294792068739, 'beta_2': 0.3461076985556802}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 2.902289082928587, 'activation': 'relu', 'hidden_layer_sizes': (4, 122), 'alpha': 2.0893885664254834, 'max_iter': 155, 'batch_size': 500, 'shuffle': False, 'momentum': 0.7624421068565078, 'nesterovs_momentum': True}"
7,"{'solver': 'adam', 'learning_rate_init': 6.384956880276558, 'activation': 'tanh', 'hidden_layer_sizes': (200, 116), 'alpha': 0.38353828343180696, 'max_iter': 376, 'batch_size': 216, 'shuffle': True, 'beta_1': 0.7066188244224914, 'beta_2': 0.3174650512928956}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 5.6013833414961205, 'activation': 'logistic', 'hidden_layer_sizes': (108,), 'alpha': 8.709514451594442, 'max_iter': 64, 'batch_size': 754, 'shuffle': False, 'momentum': 0.10527772732135492, 'nesterovs_momentum': True}"
8,"{'solver': 'adam', 'learning_rate_init': 6.810653352563177, 'activation': 'tanh', 'hidden_layer_sizes': (46,), 'alpha': 5.932598707338643, 'max_iter': 154, 'batch_size': 1367, 'shuffle': True, 'beta_1': 0.56257008783359, 'beta_2': 0.9505018335546851}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.6783550079618543, 'activation': 'relu', 'hidden_layer_sizes': (39,), 'alpha': 2.3687157774123913, 'max_iter': 7, 'batch_size': 760, 'shuffle': True, 'momentum': 0.9665273950891498, 'nesterovs_momentum': False}"
9,"{'solver': 'adam', 'learning_rate_init': 7.425955175048526, 'activation': 'tanh', 'hidden_layer_sizes': (141, 85, 130, 1), 'alpha': 8.095801274431807, 'max_iter': 199, 'batch_size': 1401, 'shuffle': False, 'beta_1': 0.5929692419847797, 'beta_2': 0.25747077457580625}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 7.615218173515565, 'activation': 'tanh', 'hidden_layer_sizes': (89, 28, 46), 'alpha': 1.9129671986289323, 'max_iter': 172, 'batch_size': 1217, 'shuffle': False, 'momentum': 0.703279646944389, 'nesterovs_momentum': False}"
