,MLP
0,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.7902445699036171, 'activation': 'tanh', 'hidden_layer_sizes': (23, 185), 'alpha': 7.35255009240571, 'max_iter': 133, 'batch_size': 983, 'shuffle': True, 'momentum': 0.8592406428169133, 'nesterovs_momentum': True}"
1,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 9.808982475490145, 'activation': 'tanh', 'hidden_layer_sizes': (115, 121, 4, 97), 'alpha': 5.956458116136733, 'max_iter': 34, 'batch_size': 207, 'shuffle': False, 'momentum': 0.35242113249377227, 'nesterovs_momentum': False}"
2,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 4.995828771545911, 'activation': 'logistic', 'hidden_layer_sizes': (196, 155, 177, 39), 'alpha': 9.7857460997674, 'max_iter': 451, 'batch_size': 119, 'shuffle': True, 'momentum': 0.9228082939642737, 'nesterovs_momentum': False}"
3,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.0645782147828867, 'activation': 'logistic', 'hidden_layer_sizes': (72, 147, 28, 4), 'alpha': 5.5116627247149745, 'max_iter': 257, 'batch_size': 1150, 'shuffle': True, 'momentum': 0.7959026761651109, 'nesterovs_momentum': False}"
4,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 2.6268751315985743, 'activation': 'relu', 'hidden_layer_sizes': (136,), 'alpha': 1.7136739106728511, 'max_iter': 239, 'batch_size': 1463, 'shuffle': False, 'momentum': 0.22148078821830516, 'nesterovs_momentum': False}"
5,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 8.355522010675848, 'activation': 'logistic', 'hidden_layer_sizes': (84, 155, 128, 171), 'alpha': 0.21216319710986672, 'max_iter': 259, 'batch_size': 797, 'shuffle': True, 'momentum': 0.7459921840126673, 'nesterovs_momentum': True}"
6,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 2.902289082928587, 'activation': 'relu', 'hidden_layer_sizes': (4, 122), 'alpha': 2.0893885664254834, 'max_iter': 155, 'batch_size': 500, 'shuffle': False, 'momentum': 0.7624421068565078, 'nesterovs_momentum': True}"
7,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 5.6013833414961205, 'activation': 'logistic', 'hidden_layer_sizes': (108,), 'alpha': 8.709514451594442, 'max_iter': 64, 'batch_size': 754, 'shuffle': False, 'momentum': 0.10527772732135492, 'nesterovs_momentum': True}"
8,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.6783550079618543, 'activation': 'relu', 'hidden_layer_sizes': (39,), 'alpha': 2.3687157774123913, 'max_iter': 7, 'batch_size': 760, 'shuffle': True, 'momentum': 0.9665273950891498, 'nesterovs_momentum': False}"
9,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 7.615218173515565, 'activation': 'tanh', 'hidden_layer_sizes': (89, 28, 46), 'alpha': 1.9129671986289323, 'max_iter': 172, 'batch_size': 1217, 'shuffle': False, 'momentum': 0.703279646944389, 'nesterovs_momentum': False}"
10,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 3.182772796583342, 'activation': 'tanh', 'hidden_layer_sizes': (62, 188, 41), 'alpha': 3.5795621435685607, 'max_iter': 276, 'batch_size': 1340, 'shuffle': True, 'momentum': 0.5138727430580202, 'nesterovs_momentum': False}"
11,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 4.262191246073155, 'activation': 'tanh', 'hidden_layer_sizes': (141, 185, 72, 135, 176), 'alpha': 6.1234913169254295, 'max_iter': 239, 'batch_size': 220, 'shuffle': False, 'momentum': 0.003169970837102061, 'nesterovs_momentum': False}"
12,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 5.838594171797519, 'activation': 'logistic', 'hidden_layer_sizes': (27, 71, 21, 160), 'alpha': 4.076977241469845, 'max_iter': 488, 'batch_size': 1112, 'shuffle': True, 'momentum': 0.8232431170738274, 'nesterovs_momentum': True}"
13,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 4.551900658633888, 'activation': 'relu', 'hidden_layer_sizes': (22, 168, 172, 24), 'alpha': 1.4952055697538051, 'max_iter': 450, 'batch_size': 879, 'shuffle': True, 'momentum': 0.5993798011102953, 'nesterovs_momentum': True}"
14,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 9.976678223589055, 'activation': 'tanh', 'hidden_layer_sizes': (32,), 'alpha': 0.776779576830208, 'max_iter': 128, 'batch_size': 1294, 'shuffle': False, 'momentum': 0.1692020788513841, 'nesterovs_momentum': False}"
15,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 3.257019829810129, 'activation': 'relu', 'hidden_layer_sizes': (192,), 'alpha': 5.1990729217225855, 'max_iter': 396, 'batch_size': 726, 'shuffle': True, 'momentum': 0.24730147341561745, 'nesterovs_momentum': False}"
16,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 5.7483778541227695, 'activation': 'relu', 'hidden_layer_sizes': (98,), 'alpha': 1.1016375259746254, 'max_iter': 247, 'batch_size': 840, 'shuffle': True, 'momentum': 0.654423660630468, 'nesterovs_momentum': False}"
17,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 5.413062957322304, 'activation': 'tanh', 'hidden_layer_sizes': (186, 121, 93, 17), 'alpha': 3.3194851853433205, 'max_iter': 200, 'batch_size': 868, 'shuffle': False, 'momentum': 0.49338626744892616, 'nesterovs_momentum': True}"
18,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 9.271311801418326, 'activation': 'tanh', 'hidden_layer_sizes': (196,), 'alpha': 4.114835254456412, 'max_iter': 446, 'batch_size': 1084, 'shuffle': True, 'momentum': 0.15472665093180607, 'nesterovs_momentum': True}"
19,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 5.934758012720295, 'activation': 'tanh', 'hidden_layer_sizes': (191, 107, 169, 198), 'alpha': 6.187253952560007, 'max_iter': 305, 'batch_size': 51, 'shuffle': True, 'momentum': 0.349218690792811, 'nesterovs_momentum': False}"
20,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.3049836548302862, 'activation': 'logistic', 'hidden_layer_sizes': (22, 177, 146, 99), 'alpha': 5.530986310133064, 'max_iter': 438, 'batch_size': 781, 'shuffle': True, 'momentum': 0.9409811260270703, 'nesterovs_momentum': True}"
21,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 4.577680710713637, 'activation': 'logistic', 'hidden_layer_sizes': (6, 166, 63, 87), 'alpha': 2.8337080236308823, 'max_iter': 335, 'batch_size': 435, 'shuffle': False, 'momentum': 0.5811887644268525, 'nesterovs_momentum': True}"
22,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.347336143165176, 'activation': 'relu', 'hidden_layer_sizes': (121, 130, 64, 57, 7), 'alpha': 0.28114105747650564, 'max_iter': 348, 'batch_size': 153, 'shuffle': True, 'momentum': 0.7462871701962346, 'nesterovs_momentum': True}"
23,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 8.990776848260712, 'activation': 'tanh', 'hidden_layer_sizes': (86,), 'alpha': 8.016390512912453, 'max_iter': 33, 'batch_size': 452, 'shuffle': True, 'momentum': 0.10045054561846951, 'nesterovs_momentum': False}"
24,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 4.68245227744917, 'activation': 'logistic', 'hidden_layer_sizes': (180, 132), 'alpha': 4.7374521825732865, 'max_iter': 38, 'batch_size': 1166, 'shuffle': True, 'momentum': 0.41955548358567185, 'nesterovs_momentum': True}"
25,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.9288813148508597, 'activation': 'tanh', 'hidden_layer_sizes': (21, 146, 103, 182), 'alpha': 5.712924930041999, 'max_iter': 140, 'batch_size': 584, 'shuffle': False, 'momentum': 0.3579576344578039, 'nesterovs_momentum': False}"
26,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.2284348740028228, 'activation': 'tanh', 'hidden_layer_sizes': (114, 160, 104, 119, 183), 'alpha': 2.564845804816739, 'max_iter': 217, 'batch_size': 705, 'shuffle': True, 'momentum': 0.2532635932417875, 'nesterovs_momentum': False}"
27,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 2.749276078651319, 'activation': 'relu', 'hidden_layer_sizes': (20,), 'alpha': 2.269263792499368, 'max_iter': 177, 'batch_size': 307, 'shuffle': True, 'momentum': 0.8307900724300152, 'nesterovs_momentum': True}"
28,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 4.388716400389563, 'activation': 'tanh', 'hidden_layer_sizes': (90, 164, 84), 'alpha': 9.468621017610825, 'max_iter': 494, 'batch_size': 162, 'shuffle': True, 'momentum': 0.9562077551123438, 'nesterovs_momentum': True}"
29,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.18930629526046608, 'activation': 'tanh', 'hidden_layer_sizes': (167, 146, 62), 'alpha': 4.5858956070368295, 'max_iter': 338, 'batch_size': 887, 'shuffle': False, 'momentum': 0.28343672173541273, 'nesterovs_momentum': False}"
