,SLM
0,0.9525523560209425
1,0.952240758913968
2,0.952240758913968
3,0.9551848217206411
4,0.9548577036310107
5,0.952240758913968
6,0.952240758913968
7,0.952240758913968
8,0.9535492312724894
9,0.952240758913968
10,0.952240758913968
11,0.952240758913968
12,0.9522563767168084
13,0.9548724656638325
14,0.9522563767168084
15,0.9565075212557227
16,0.9522563767168084
17,0.9522563767168084
18,0.9522563767168084
19,0.9522563767168084
20,0.9522563767168084
21,0.9522563767168084
22,0.9522563767168084
23,0.9522563767168084
24,0.9522563767168084
25,0.9522563767168084
26,0.9522563767168084
27,0.9522563767168084
28,0.9522563767168084
29,0.9522563767168084
