,"SLM (BLS) + TIE, SLM (BLS) + EDV","SLM (OLS), SLM (OLS) + RST, SLM (OLS) + RWT","SLM (BLS), SLM (BLS) + RST, SLM (BLS) + RWT",SLM (OLS) + EDV
0,97,850108,31283,276
1,192,61579,1308,273
2,139,370594,984,182
3,108,262702,1459,249
4,210,140040,1390,71
5,197,221387,2183,260
6,208,524279,171,138
7,125,89701,2759,176
8,163,856852,658,154
9,82,6602,681,238
10,77,89627,1373,127
11,321,875883,430,102
12,106,333929,1334,122
13,33,642869,583,77
14,110,103181,678,138
15,139,7535,1172,55
16,222,7593,2919,135
17,149,339495,18021,92
18,152,852214,1945,294
19,143,434883,737,251
20,955,463780,294,305
21,72,270588,644,164
22,110,725295,6059,129
23,420,342374,329,233
24,58,621175,19358,109
25,43,397695,1341,140
26,701,661120,1900,89
27,167,647229,2771,123
28,75,5444,3049,190
29,125,95320,1744,254
