,"SLM (BLS) + TIE, SLM (BLS) + EDV","SLM (OLS), SLM (OLS) + RST, SLM (OLS) + RWT","SLM (BLS), SLM (BLS) + RST, SLM (BLS) + RWT",SLM (OLS) + EDV
0,1,482,288,3
1,5,315,125,6
2,1,483,394,3
3,1,402,386,13
4,3,481,125,5
5,1,363,322,6
6,2,448,63,2
7,2,229,483,1
8,1,487,417,2
9,1,407,161,2
10,1,377,332,2
11,4,489,253,2
12,5,355,308,3
13,1,490,350,5
14,1,418,143,3
15,2,466,433,4
16,8,475,335,3
17,1,347,453,2
18,1,481,382,4
19,2,401,197,3
20,71,418,106,3
21,1,412,383,2
22,6,445,477,2
23,9,350,46,5
24,1,489,451,2
25,1,499,156,2
26,47,500,370,2
27,2,489,123,2
28,1,343,168,3
29,1,388,473,2
