,"SLM (BLS) + TIE, SLM (BLS) + EDV","SLM (OLS), SLM (OLS) + RST, SLM (OLS) + RWT","SLM (BLS), SLM (BLS) + RST, SLM (BLS) + RWT",SLM (OLS) + EDV
0,10,4371,643,27
1,24,961,110,21
2,23,2383,70,21
3,17,2032,106,14
4,27,1435,103,6
5,27,1831,153,23
6,31,3115,27,17
7,12,1150,183,18
8,22,4417,48,12
9,10,408,51,24
10,17,1145,96,17
11,37,4405,31,9
12,6,2502,83,20
13,2,3442,45,6
14,25,1256,61,20
15,15,467,81,5
16,31,476,192,12
17,16,2494,613,13
18,20,4350,122,31
19,26,2820,51,26
20,89,2953,26,36
21,6,2039,62,13
22,7,4018,318,20
23,44,2492,28,19
24,15,3393,510,14
25,2,2513,127,11
26,48,3493,140,10
27,21,3488,187,11
28,9,344,208,14
29,12,1194,123,24
