,MLP (ADAM),MLP (SGD)
0,"{'solver': 'adam', 'learning_rate_init': 8.562975783427508, 'activation': 'relu', 'hidden_layer_sizes': (180, 173), 'alpha': 9.502671295296862, 'max_iter': 158, 'batch_size': 64, 'shuffle': False, 'beta_1': 0.2146960039596928, 'beta_2': 0.8720636499912693}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.05796691371212872, 'activation': 'tanh', 'hidden_layer_sizes': (52, 194, 45), 'alpha': 3.33313535928565, 'max_iter': 160, 'batch_size': 99, 'shuffle': True, 'momentum': 0.06908867993690279, 'nesterovs_momentum': True}"
1,"{'solver': 'adam', 'learning_rate_init': 7.753294423517387, 'activation': 'relu', 'hidden_layer_sizes': (177, 74), 'alpha': 8.345378055256221, 'max_iter': 353, 'batch_size': 90, 'shuffle': False, 'beta_1': 0.7314287987720868, 'beta_2': 0.966355658154983}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.951876623334226, 'activation': 'logistic', 'hidden_layer_sizes': (10,), 'alpha': 0.8023754642079387, 'max_iter': 139, 'batch_size': 114, 'shuffle': False, 'momentum': 0.9916614231900905, 'nesterovs_momentum': True}"
2,"{'solver': 'adam', 'learning_rate_init': 9.81710920054468, 'activation': 'relu', 'hidden_layer_sizes': (55, 189, 30), 'alpha': 1.2687574833537918, 'max_iter': 263, 'batch_size': 81, 'shuffle': False, 'beta_1': 0.3663716569677699, 'beta_2': 0.9539974304129731}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.08543852163924243, 'activation': 'tanh', 'hidden_layer_sizes': (58, 82, 16), 'alpha': 5.096764430109084, 'max_iter': 91, 'batch_size': 103, 'shuffle': True, 'momentum': 0.9338342241591321, 'nesterovs_momentum': False}"
3,"{'solver': 'adam', 'learning_rate_init': 6.6901066202085335, 'activation': 'relu', 'hidden_layer_sizes': (187, 107), 'alpha': 3.91378309992022, 'max_iter': 353, 'batch_size': 64, 'shuffle': True, 'beta_1': 0.7837811815034048, 'beta_2': 0.512697947277261}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 6.281259262974632, 'activation': 'logistic', 'hidden_layer_sizes': (124,), 'alpha': 0.2175025792508278, 'max_iter': 497, 'batch_size': 96, 'shuffle': False, 'momentum': 0.6633615898889225, 'nesterovs_momentum': True}"
4,"{'solver': 'adam', 'learning_rate_init': 4.587996285284952, 'activation': 'relu', 'hidden_layer_sizes': (27, 88, 47, 69, 132), 'alpha': 1.3799623843390327, 'max_iter': 71, 'batch_size': 107, 'shuffle': True, 'beta_1': 0.1442134380606247, 'beta_2': 0.40499555473978455}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.9801681039852362, 'activation': 'relu', 'hidden_layer_sizes': (10, 187), 'alpha': 5.6707196933636626, 'max_iter': 51, 'batch_size': 86, 'shuffle': False, 'momentum': 0.615258176655181, 'nesterovs_momentum': False}"
5,"{'solver': 'adam', 'learning_rate_init': 6.4509629893742035, 'activation': 'relu', 'hidden_layer_sizes': (192, 179, 96, 186), 'alpha': 9.805964953394735, 'max_iter': 90, 'batch_size': 125, 'shuffle': False, 'beta_1': 0.27679492303882364, 'beta_2': 0.8220713039216637}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.0927721449283918, 'activation': 'tanh', 'hidden_layer_sizes': (188, 93, 92, 8, 44), 'alpha': 3.616184992058974, 'max_iter': 325, 'batch_size': 103, 'shuffle': True, 'momentum': 0.06977113907801326, 'nesterovs_momentum': False}"
6,"{'solver': 'adam', 'learning_rate_init': 0.33839875424852917, 'activation': 'logistic', 'hidden_layer_sizes': (180,), 'alpha': 0.3229938146979822, 'max_iter': 213, 'batch_size': 78, 'shuffle': True, 'beta_1': 0.2583936340347496, 'beta_2': 0.007214152731249506}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.17644466642648088, 'activation': 'tanh', 'hidden_layer_sizes': (35, 81, 67, 157), 'alpha': 3.490807689967893, 'max_iter': 420, 'batch_size': 135, 'shuffle': True, 'momentum': 0.5573666865252438, 'nesterovs_momentum': True}"
7,"{'solver': 'adam', 'learning_rate_init': 8.05900419584449, 'activation': 'relu', 'hidden_layer_sizes': (84, 95, 181, 104), 'alpha': 1.3579886973662905, 'max_iter': 235, 'batch_size': 75, 'shuffle': False, 'beta_1': 0.14198608158332032, 'beta_2': 0.9432345288894839}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.02674833236272363, 'activation': 'relu', 'hidden_layer_sizes': (82, 20), 'alpha': 1.1272976997393576, 'max_iter': 417, 'batch_size': 127, 'shuffle': True, 'momentum': 0.1398418868133842, 'nesterovs_momentum': True}"
8,"{'solver': 'adam', 'learning_rate_init': 0.8040282321919735, 'activation': 'logistic', 'hidden_layer_sizes': (45,), 'alpha': 0.36988530950712084, 'max_iter': 327, 'batch_size': 112, 'shuffle': True, 'beta_1': 0.21924325643846806, 'beta_2': 0.597470455919246}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 4.516027814186106, 'activation': 'tanh', 'hidden_layer_sizes': (130,), 'alpha': 0.8859055315656672, 'max_iter': 94, 'batch_size': 67, 'shuffle': False, 'momentum': 0.42195538078797507, 'nesterovs_momentum': True}"
9,"{'solver': 'adam', 'learning_rate_init': 7.008587926397413, 'activation': 'relu', 'hidden_layer_sizes': (143, 106, 65, 115), 'alpha': 3.0342056312600714, 'max_iter': 416, 'batch_size': 114, 'shuffle': True, 'beta_1': 0.29196999329641704, 'beta_2': 0.9633483251403505}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.297911910550604, 'activation': 'tanh', 'hidden_layer_sizes': (116,), 'alpha': 0.5891272791081108, 'max_iter': 454, 'batch_size': 73, 'shuffle': True, 'momentum': 0.6642212261101328, 'nesterovs_momentum': True}"
