,MLP
0,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.05796691371212872, 'activation': 'tanh', 'hidden_layer_sizes': (52, 194, 45), 'alpha': 3.33313535928565, 'max_iter': 160, 'batch_size': 99, 'shuffle': True, 'momentum': 0.06908867993690279, 'nesterovs_momentum': True}"
1,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.951876623334226, 'activation': 'logistic', 'hidden_layer_sizes': (10,), 'alpha': 0.8023754642079387, 'max_iter': 139, 'batch_size': 114, 'shuffle': False, 'momentum': 0.9916614231900905, 'nesterovs_momentum': True}"
2,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.08543852163924243, 'activation': 'tanh', 'hidden_layer_sizes': (58, 82, 16), 'alpha': 5.096764430109084, 'max_iter': 91, 'batch_size': 103, 'shuffle': True, 'momentum': 0.9338342241591321, 'nesterovs_momentum': False}"
3,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 6.281259262974632, 'activation': 'logistic', 'hidden_layer_sizes': (124,), 'alpha': 0.2175025792508278, 'max_iter': 497, 'batch_size': 96, 'shuffle': False, 'momentum': 0.6633615898889225, 'nesterovs_momentum': True}"
4,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.9801681039852362, 'activation': 'relu', 'hidden_layer_sizes': (10, 187), 'alpha': 5.6707196933636626, 'max_iter': 51, 'batch_size': 86, 'shuffle': False, 'momentum': 0.615258176655181, 'nesterovs_momentum': False}"
5,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.0927721449283918, 'activation': 'tanh', 'hidden_layer_sizes': (188, 93, 92, 8, 44), 'alpha': 3.616184992058974, 'max_iter': 325, 'batch_size': 103, 'shuffle': True, 'momentum': 0.06977113907801326, 'nesterovs_momentum': False}"
6,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.17644466642648088, 'activation': 'tanh', 'hidden_layer_sizes': (35, 81, 67, 157), 'alpha': 3.490807689967893, 'max_iter': 420, 'batch_size': 135, 'shuffle': True, 'momentum': 0.5573666865252438, 'nesterovs_momentum': True}"
7,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.02674833236272363, 'activation': 'relu', 'hidden_layer_sizes': (82, 20), 'alpha': 1.1272976997393576, 'max_iter': 417, 'batch_size': 127, 'shuffle': True, 'momentum': 0.1398418868133842, 'nesterovs_momentum': True}"
8,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 4.516027814186106, 'activation': 'tanh', 'hidden_layer_sizes': (130,), 'alpha': 0.8859055315656672, 'max_iter': 94, 'batch_size': 67, 'shuffle': False, 'momentum': 0.42195538078797507, 'nesterovs_momentum': True}"
9,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.297911910550604, 'activation': 'tanh', 'hidden_layer_sizes': (116,), 'alpha': 0.5891272791081108, 'max_iter': 454, 'batch_size': 73, 'shuffle': True, 'momentum': 0.6642212261101328, 'nesterovs_momentum': True}"
10,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 2.024444360998042, 'activation': 'tanh', 'hidden_layer_sizes': (168, 162, 200, 94), 'alpha': 0.7223081723801574, 'max_iter': 21, 'batch_size': 85, 'shuffle': False, 'momentum': 0.06138925114513964, 'nesterovs_momentum': True}"
11,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.26978382877503226, 'activation': 'relu', 'hidden_layer_sizes': (26,), 'alpha': 7.493637903338752, 'max_iter': 367, 'batch_size': 91, 'shuffle': False, 'momentum': 0.10723560249193077, 'nesterovs_momentum': True}"
