,MLP
0,0.9053254437869822
1,0.878698224852071
2,0.8875739644970414
3,0.7810650887573964
4,0.8136094674556213
5,0.9142011834319527
6,0.9351032448377581
7,0.9793510324483776
8,0.7256637168141593
9,0.9262536873156342
10,0.6224188790560472
11,0.8790560471976401
12,0.7256637168141593
13,0.9026548672566371
14,0.640117994100295
15,0.95
16,0.9411764705882353
17,0.8676470588235294
18,0.6529411764705882
19,0.8764705882352941
20,0.3588235294117647
21,0.8529411764705882
22,0.6411764705882353
23,0.8941176470588236
24,0.9088235294117647
25,0.7411764705882353
26,0.888235294117647
27,0.7617647058823529
28,0.8117647058823529
29,0.8735294117647059
