,MLP (ADAM)
0,0.8720636499912693
1,0.966355658154983
2,0.9539974304129731
3,0.512697947277261
4,0.40499555473978455
5,0.8220713039216637
6,0.007214152731249506
7,0.9432345288894839
8,0.597470455919246
9,0.9633483251403505
10,0.8852124953276698
11,0.6415161386483627
12,0.8434005951665033
13,0.11183585982766216
14,0.7736279529552494
15,0.6897965576821441
16,0.752358681825258
17,0.9235949149435965
18,0.9543352506236726
19,0.026929292470546127
20,0.9421229268789026
21,0.670611514246237
22,0.6658742275831939
23,0.30951303843109085
24,0.5414378473390808
25,0.6206906007395396
26,0.44582757547847524
27,0.7324198769326388
28,0.36926869794452744
29,0.7091499003491228
