,MLP (SGD)
0,0.06908867993690279
1,0.9916614231900905
2,0.9338342241591321
3,0.6633615898889225
4,0.615258176655181
5,0.06977113907801326
6,0.5573666865252438
7,0.1398418868133842
8,0.42195538078797507
9,0.6642212261101328
10,0.06138925114513964
11,0.10723560249193077
12,0.8087562858296646
13,0.23743048158217378
14,0.23730850250520935
15,0.1136130255746502
16,0.5608153316466831
17,0.45747634673295307
18,0.42142885872995234
19,0.6150763318098044
20,0.665493077182224
21,0.7104060953313834
22,0.18023185171027728
23,0.7620049455176457
24,0.269280880906449
25,0.7289088089826141
26,0.1616239055708194
27,0.5272729460955435
28,0.5871840059458637
29,0.9421633408705273
