,"SLM (BLS) + TIE, SLM (BLS) + EDV","SLM (OLS), SLM (OLS) + RST, SLM (OLS) + RWT","SLM (BLS), SLM (BLS) + RST, SLM (BLS) + RWT",SLM (OLS) + EDV
0,81,79967,5452,74
1,35,744168,18914,125
2,37,160993,1615,105
3,78,6316,51664,207
4,186,6933,20699,55
5,121,666744,5091,88
6,220,6304,14179,148
7,130,230128,121992,40
8,84,9366,80731,252
9,109,126601,22522,140
10,122,150866,1737,124
11,22,7982,28905,57
12,68,5635,7571,156
13,60,386600,5850,206
14,172,256920,1046,103
15,186,376425,8190,73
16,194,4143,19618,91
17,159,126994,5196,248
18,82,7216,34889,104
19,129,266550,127140,209
20,116,134922,4368,46
21,168,140031,5411,274
22,86,298694,5805,311
23,122,8413,12905,111
24,40,87552,12906,37
25,811,55222,1413,69
26,561,4998,4835,51
27,223,107619,1844,26
28,198,210870,209677,100
29,208,9855,2603,140
