,"SLM (BLS) + TIE, SLM (BLS) + EDV","SLM (OLS), SLM (OLS) + RST, SLM (OLS) + RWT","SLM (BLS), SLM (BLS) + RST, SLM (BLS) + RWT",SLM (OLS) + EDV
0,2,171,91,3
1,1,447,418,4
2,2,313,362,3
3,2,294,371,3
4,1,314,214,3
5,1,427,410,3
6,2,75,349,2
7,1,362,403,1
8,2,421,435,3
9,1,428,227,4
10,1,469,377,3
11,1,371,460,1
12,1,257,258,1
13,2,495,499,8
14,2,261,266,2
15,1,476,230,4
16,1,187,246,3
17,1,210,192,5
18,1,344,462,4
19,1,393,380,2
20,2,456,490,2
21,2,456,252,2
22,1,428,338,3
23,1,384,261,1
24,1,348,339,1
25,8,276,353,4
26,5,245,300,1
27,3,405,380,1
28,3,349,364,4
29,1,470,422,4
