,"SLM (BLS) + TIE, SLM (BLS) + EDV","SLM (OLS), SLM (OLS) + RST, SLM (OLS) + RWT","SLM (BLS), SLM (BLS) + RST, SLM (BLS) + RWT",SLM (OLS) + EDV
0,15,1190,294,4
1,2,4033,487,5
2,3,1550,85,4
3,3,295,809,11
4,21,315,580,4
5,8,3863,212,4
6,34,231,519,11
7,8,1847,1574,2
8,8,422,1098,19
9,12,1310,545,5
10,24,1426,91,10
11,2,372,751,2
12,2,258,286,9
13,3,2452,253,9
14,10,2381,54,8
15,10,2412,292,5
16,22,188,506,4
17,15,1477,220,20
18,17,345,769,5
19,22,2007,1535,11
20,8,1355,230,3
21,15,1354,299,30
22,7,2150,246,23
23,21,385,412,7
24,2,1080,418,2
25,86,828,72,5
26,61,246,190,2
27,18,1230,96,2
28,29,1748,1981,5
29,21,471,141,5
