,MLP (ADAM),MLP (SGD)
0,"{'solver': 'adam', 'learning_rate_init': 3.3656288468431086, 'activation': 'tanh', 'hidden_layer_sizes': (123,), 'alpha': 1.342731815035848, 'max_iter': 126, 'batch_size': 908, 'shuffle': True, 'beta_1': 0.9188311783117609, 'beta_2': 0.7783469682161095}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.29557833522543814, 'activation': 'tanh', 'hidden_layer_sizes': (128, 37), 'alpha': 4.395218279048604, 'max_iter': 169, 'batch_size': 115, 'shuffle': True, 'momentum': 0.47341964996304436, 'nesterovs_momentum': False}"
1,"{'solver': 'adam', 'learning_rate_init': 4.879831605777039, 'activation': 'relu', 'hidden_layer_sizes': (133, 164, 63, 27, 112), 'alpha': 5.995994995337062, 'max_iter': 113, 'batch_size': 1443, 'shuffle': True, 'beta_1': 0.10161670992878119, 'beta_2': 0.3913000297772535}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.16794239092071284, 'activation': 'tanh', 'hidden_layer_sizes': (7, 157, 49), 'alpha': 0.3610217789645245, 'max_iter': 424, 'batch_size': 634, 'shuffle': False, 'momentum': 0.664314868351052, 'nesterovs_momentum': True}"
2,"{'solver': 'adam', 'learning_rate_init': 6.113478448245944, 'activation': 'relu', 'hidden_layer_sizes': (54, 107, 110, 55), 'alpha': 3.4222469281658485, 'max_iter': 462, 'batch_size': 626, 'shuffle': True, 'beta_1': 0.13082518510320576, 'beta_2': 0.331065548749235}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.47817910581855905, 'activation': 'relu', 'hidden_layer_sizes': (69, 21), 'alpha': 2.152283039308769, 'max_iter': 152, 'batch_size': 1418, 'shuffle': False, 'momentum': 0.57063148577841, 'nesterovs_momentum': True}"
3,"{'solver': 'adam', 'learning_rate_init': 0.0609423152215092, 'activation': 'relu', 'hidden_layer_sizes': (164,), 'alpha': 8.59985124865019, 'max_iter': 413, 'batch_size': 285, 'shuffle': False, 'beta_1': 0.5576500702581909, 'beta_2': 0.2608818901644421}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.22665977544937682, 'activation': 'tanh', 'hidden_layer_sizes': (158,), 'alpha': 0.20270358879856476, 'max_iter': 408, 'batch_size': 1103, 'shuffle': False, 'momentum': 0.2680476033597381, 'nesterovs_momentum': True}"
4,"{'solver': 'adam', 'learning_rate_init': 0.15314737510343945, 'activation': 'relu', 'hidden_layer_sizes': (64,), 'alpha': 6.788579321450663, 'max_iter': 95, 'batch_size': 1244, 'shuffle': True, 'beta_1': 0.0778628011168387, 'beta_2': 0.8892195249795884}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.6358384466050876, 'activation': 'tanh', 'hidden_layer_sizes': (147,), 'alpha': 3.859358628895527, 'max_iter': 204, 'batch_size': 989, 'shuffle': False, 'momentum': 0.7294316435981274, 'nesterovs_momentum': False}"
5,"{'solver': 'adam', 'learning_rate_init': 1.7237421539825102, 'activation': 'relu', 'hidden_layer_sizes': (177, 57), 'alpha': 5.650333221720179, 'max_iter': 166, 'batch_size': 1381, 'shuffle': True, 'beta_1': 0.890756392702816, 'beta_2': 0.8558593300162674}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.38019686643371786, 'activation': 'tanh', 'hidden_layer_sizes': (108,), 'alpha': 7.463111193398857, 'max_iter': 449, 'batch_size': 1243, 'shuffle': True, 'momentum': 0.9668723520099065, 'nesterovs_momentum': True}"
6,"{'solver': 'adam', 'learning_rate_init': 0.007296962295012006, 'activation': 'logistic', 'hidden_layer_sizes': (52,), 'alpha': 2.4223737305387703, 'max_iter': 146, 'batch_size': 897, 'shuffle': True, 'beta_1': 0.8934930952136106, 'beta_2': 0.17320323854386646}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.2456531569688247, 'activation': 'relu', 'hidden_layer_sizes': (2, 148, 17), 'alpha': 6.28530757831092, 'max_iter': 464, 'batch_size': 953, 'shuffle': True, 'momentum': 0.3157026742490219, 'nesterovs_momentum': False}"
7,"{'solver': 'adam', 'learning_rate_init': 0.00731335644416205, 'activation': 'tanh', 'hidden_layer_sizes': (120, 25), 'alpha': 1.92778782949301, 'max_iter': 28, 'batch_size': 1301, 'shuffle': True, 'beta_1': 0.8513772163042169, 'beta_2': 0.7579843768867388}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.6402688759988711, 'activation': 'logistic', 'hidden_layer_sizes': (78,), 'alpha': 0.5366804625665204, 'max_iter': 20, 'batch_size': 634, 'shuffle': False, 'momentum': 0.995043710926868, 'nesterovs_momentum': False}"
8,"{'solver': 'adam', 'learning_rate_init': 0.15317116823188268, 'activation': 'relu', 'hidden_layer_sizes': (4,), 'alpha': 4.9623649136974475, 'max_iter': 255, 'batch_size': 999, 'shuffle': True, 'beta_1': 0.10609088205000951, 'beta_2': 0.47940970963428775}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.5834126200623362, 'activation': 'logistic', 'hidden_layer_sizes': (86, 128), 'alpha': 0.16946683607843593, 'max_iter': 186, 'batch_size': 265, 'shuffle': False, 'momentum': 0.03652937165051699, 'nesterovs_momentum': False}"
9,"{'solver': 'adam', 'learning_rate_init': 0.12181035107746316, 'activation': 'tanh', 'hidden_layer_sizes': (127,), 'alpha': 5.445072497792012, 'max_iter': 323, 'batch_size': 593, 'shuffle': True, 'beta_1': 0.32370193458204893, 'beta_2': 0.4813965325866457}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.03829202475454046, 'activation': 'tanh', 'hidden_layer_sizes': (37, 111), 'alpha': 7.480771572118279, 'max_iter': 486, 'batch_size': 819, 'shuffle': True, 'momentum': 0.16296349500804175, 'nesterovs_momentum': False}"
10,"{'solver': 'adam', 'learning_rate_init': 1.9712604569900707, 'activation': 'tanh', 'hidden_layer_sizes': (138,), 'alpha': 6.094491437830106, 'max_iter': 333, 'batch_size': 776, 'shuffle': False, 'beta_1': 0.9093735068021547, 'beta_2': 0.34274993271021875}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.6600263937319136, 'activation': 'tanh', 'hidden_layer_sizes': (139, 81), 'alpha': 5.510156202136514, 'max_iter': 352, 'batch_size': 1384, 'shuffle': False, 'momentum': 0.014753292833851893, 'nesterovs_momentum': True}"
11,"{'solver': 'adam', 'learning_rate_init': 2.613850482228634, 'activation': 'relu', 'hidden_layer_sizes': (167, 36, 122), 'alpha': 0.2659320098590142, 'max_iter': 336, 'batch_size': 1162, 'shuffle': True, 'beta_1': 0.4923897864157374, 'beta_2': 0.26615890012504867}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.8793824901941512, 'activation': 'logistic', 'hidden_layer_sizes': (178, 49), 'alpha': 0.8941042352795806, 'max_iter': 145, 'batch_size': 1119, 'shuffle': True, 'momentum': 0.42915672766565355, 'nesterovs_momentum': False}"
12,"{'solver': 'adam', 'learning_rate_init': 0.04035470034816919, 'activation': 'relu', 'hidden_layer_sizes': (92, 136), 'alpha': 4.877678304356025, 'max_iter': 109, 'batch_size': 84, 'shuffle': False, 'beta_1': 0.6981814069069834, 'beta_2': 0.8049318897619044}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.0533325660869453, 'activation': 'tanh', 'hidden_layer_sizes': (66,), 'alpha': 1.040373746259587, 'max_iter': 211, 'batch_size': 1052, 'shuffle': True, 'momentum': 0.8662734845711736, 'nesterovs_momentum': True}"
13,"{'solver': 'adam', 'learning_rate_init': 0.025036936957343863, 'activation': 'tanh', 'hidden_layer_sizes': (5, 95, 154), 'alpha': 9.753020970874227, 'max_iter': 382, 'batch_size': 583, 'shuffle': True, 'beta_1': 0.29090087118729646, 'beta_2': 0.8378032041145114}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.5700086779189252, 'activation': 'relu', 'hidden_layer_sizes': (158, 163, 191), 'alpha': 1.3716735796948138, 'max_iter': 183, 'batch_size': 498, 'shuffle': True, 'momentum': 0.3888543969108829, 'nesterovs_momentum': True}"
