,MLP
0,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.29557833522543814, 'activation': 'tanh', 'hidden_layer_sizes': (128, 37), 'alpha': 4.395218279048604, 'max_iter': 169, 'batch_size': 115, 'shuffle': True, 'momentum': 0.47341964996304436, 'nesterovs_momentum': False}"
1,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.16794239092071284, 'activation': 'tanh', 'hidden_layer_sizes': (7, 157, 49), 'alpha': 0.3610217789645245, 'max_iter': 424, 'batch_size': 634, 'shuffle': False, 'momentum': 0.664314868351052, 'nesterovs_momentum': True}"
2,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.47817910581855905, 'activation': 'relu', 'hidden_layer_sizes': (69, 21), 'alpha': 2.152283039308769, 'max_iter': 152, 'batch_size': 1418, 'shuffle': False, 'momentum': 0.57063148577841, 'nesterovs_momentum': True}"
3,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.22665977544937682, 'activation': 'tanh', 'hidden_layer_sizes': (158,), 'alpha': 0.20270358879856476, 'max_iter': 408, 'batch_size': 1103, 'shuffle': False, 'momentum': 0.2680476033597381, 'nesterovs_momentum': True}"
4,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.6358384466050876, 'activation': 'tanh', 'hidden_layer_sizes': (147,), 'alpha': 3.859358628895527, 'max_iter': 204, 'batch_size': 989, 'shuffle': False, 'momentum': 0.7294316435981274, 'nesterovs_momentum': False}"
5,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.38019686643371786, 'activation': 'tanh', 'hidden_layer_sizes': (108,), 'alpha': 7.463111193398857, 'max_iter': 449, 'batch_size': 1243, 'shuffle': True, 'momentum': 0.9668723520099065, 'nesterovs_momentum': True}"
6,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.2456531569688247, 'activation': 'relu', 'hidden_layer_sizes': (2, 148, 17), 'alpha': 6.28530757831092, 'max_iter': 464, 'batch_size': 953, 'shuffle': True, 'momentum': 0.3157026742490219, 'nesterovs_momentum': False}"
7,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.6402688759988711, 'activation': 'logistic', 'hidden_layer_sizes': (78,), 'alpha': 0.5366804625665204, 'max_iter': 20, 'batch_size': 634, 'shuffle': False, 'momentum': 0.995043710926868, 'nesterovs_momentum': False}"
8,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.5834126200623362, 'activation': 'logistic', 'hidden_layer_sizes': (86, 128), 'alpha': 0.16946683607843593, 'max_iter': 186, 'batch_size': 265, 'shuffle': False, 'momentum': 0.03652937165051699, 'nesterovs_momentum': False}"
9,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.03829202475454046, 'activation': 'tanh', 'hidden_layer_sizes': (37, 111), 'alpha': 7.480771572118279, 'max_iter': 486, 'batch_size': 819, 'shuffle': True, 'momentum': 0.16296349500804175, 'nesterovs_momentum': False}"
