,MLP (SGD)
0,0.47341964996304436
1,0.664314868351052
2,0.57063148577841
3,0.2680476033597381
4,0.7294316435981274
5,0.9668723520099065
6,0.3157026742490219
7,0.995043710926868
8,0.03652937165051699
9,0.16296349500804175
10,0.014753292833851893
11,0.42915672766565355
12,0.8662734845711736
13,0.3888543969108829
14,0.1524833320579369
15,0.09573002079411472
16,0.4748743938719954
17,0.800910816087637
18,0.6105977074064916
19,0.14368237174651127
20,0.824862998137239
21,0.5103524672616193
22,0.040737235092140174
23,0.23238465661669386
24,0.033222878747657475
25,0.6820869754822478
26,0.9853732156194297
27,0.3821933962015477
28,0.2652603668296475
29,0.6590599327536425
