,"SLM (BLS) + TIE, SLM (BLS) + EDV","SLM (OLS), SLM (OLS) + RST, SLM (OLS) + RWT","SLM (BLS), SLM (BLS) + RST, SLM (BLS) + RWT",SLM (OLS) + EDV
0,19823,153629,125883,302
1,62,11116,15301,83
2,141,594218,33657,55
3,80,633836,31034,249
4,129,10976,5652,73
5,37,114487,7065,349
6,2841,11107,8837,252
7,152,363328,1690,360
8,91,246991,10323,136
9,230,193049,5350,134
10,146,241763,75805,210
11,679,127823,37433,364
12,110,203043,76025,86
13,50,9176,3713,334
14,38,422983,80382,278
15,267,103965,37770,116
16,312,11624,81386,109
17,205,134766,3694,202
18,116,144724,54804,308
19,91,89700,2030,69
20,197,9947,37214,254
21,348,117503,9222,116
22,325,79706,3337,79
23,494,154601,1087,72
24,1342,67434,87114,178
25,254,123747,798,192
26,258,91251,119541,246
27,93,165520,33615,97
28,96,9809,5121,140
29,116,612349,40435,245
