,"SLM (BLS) + TIE, SLM (BLS) + EDV","SLM (OLS), SLM (OLS) + RST, SLM (OLS) + RWT","SLM (BLS), SLM (BLS) + RST, SLM (BLS) + RWT",SLM (OLS) + EDV
0,66,476,367,5
1,1,482,450,1
2,1,465,447,2
3,2,412,341,12
4,1,457,476,2
5,1,415,311,13
6,30,487,378,3
7,3,485,311,7
8,3,373,446,3
9,3,342,281,5
10,1,386,427,10
11,7,433,374,6
12,1,346,364,2
13,2,397,471,14
14,1,396,167,3
15,2,389,341,5
16,4,492,247,4
17,2,457,340,3
18,1,482,339,4
19,1,361,167,3
20,5,433,292,2
21,4,416,433,1
22,14,329,307,3
23,6,483,340,4
24,13,315,328,7
25,1,275,280,6
26,2,363,350,3
27,1,496,313,5
28,1,424,311,5
29,1,469,456,2
