,"SLM (BLS) + TIE, SLM (BLS) + EDV","SLM (OLS), SLM (OLS) + RST, SLM (OLS) + RWT","SLM (BLS), SLM (BLS) + RST, SLM (BLS) + RWT",SLM (OLS) + EDV
0,606,1425,1635,19
1,15,483,483,5
2,9,3297,669,3
3,3,3752,708,13
4,13,458,277,7
5,2,1244,276,14
6,157,488,325,14
7,12,2416,83,26
8,21,1899,430,4
9,19,1717,212,6
10,9,1923,1011,11
11,66,1316,715,22
12,7,1745,1044,3
13,3,398,174,15
14,2,2777,1319,15
15,25,1206,875,6
16,33,493,1333,5
17,25,1371,182,12
18,9,1414,900,26
19,8,1070,99,4
20,17,434,720,33
21,26,1245,331,7
22,15,988,152,4
23,51,1456,85,5
24,104,927,1257,8
25,30,1379,80,7
26,33,1108,1471,26
27,19,1500,795,6
28,21,425,242,6
29,7,3339,887,14
