,MLP (ADAM),MLP (SGD)
0,"{'solver': 'adam', 'learning_rate_init': 9.797114967043209, 'activation': 'relu', 'hidden_layer_sizes': (190,), 'alpha': 9.448095760856528, 'max_iter': 148, 'batch_size': 51, 'shuffle': True, 'beta_1': 0.14039907161626508, 'beta_2': 0.9653710942305193}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.9251242256196712, 'activation': 'tanh', 'hidden_layer_sizes': (69,), 'alpha': 6.985582667927555, 'max_iter': 147, 'batch_size': 51, 'shuffle': False, 'momentum': 0.26083433077216756, 'nesterovs_momentum': False}"
1,"{'solver': 'adam', 'learning_rate_init': 6.446392941261927, 'activation': 'relu', 'hidden_layer_sizes': (98,), 'alpha': 5.9432896061521285, 'max_iter': 122, 'batch_size': 50, 'shuffle': False, 'beta_1': 0.6841731822946212, 'beta_2': 0.4843325626529812}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.7513088351750684, 'activation': 'logistic', 'hidden_layer_sizes': (63, 63), 'alpha': 1.0240960931817613, 'max_iter': 129, 'batch_size': 50, 'shuffle': True, 'momentum': 0.3230143957874232, 'nesterovs_momentum': False}"
2,"{'solver': 'adam', 'learning_rate_init': 7.327931945335837, 'activation': 'relu', 'hidden_layer_sizes': (52,), 'alpha': 9.568380525187777, 'max_iter': 226, 'batch_size': 51, 'shuffle': False, 'beta_1': 0.31053226416156815, 'beta_2': 0.5091728542231896}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 3.5712326624764668, 'activation': 'relu', 'hidden_layer_sizes': (79,), 'alpha': 4.083474632785995, 'max_iter': 481, 'batch_size': 51, 'shuffle': True, 'momentum': 0.5914838668970713, 'nesterovs_momentum': False}"
3,"{'solver': 'adam', 'learning_rate_init': 0.03548065617594996, 'activation': 'logistic', 'hidden_layer_sizes': (68, 164), 'alpha': 1.5037368009487913, 'max_iter': 258, 'batch_size': 50, 'shuffle': False, 'beta_1': 0.34360124131679687, 'beta_2': 0.11727677122601786}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 5.898849514472909, 'activation': 'logistic', 'hidden_layer_sizes': (138, 122), 'alpha': 6.122425154160568, 'max_iter': 298, 'batch_size': 51, 'shuffle': False, 'momentum': 0.7907849357228699, 'nesterovs_momentum': True}"
4,"{'solver': 'adam', 'learning_rate_init': 3.3739421005890615, 'activation': 'relu', 'hidden_layer_sizes': (58, 40, 73), 'alpha': 0.713930051553283, 'max_iter': 142, 'batch_size': 51, 'shuffle': False, 'beta_1': 0.9454795743072724, 'beta_2': 0.4247650408009441}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.1919991117395106, 'activation': 'tanh', 'hidden_layer_sizes': (40, 108, 173, 101), 'alpha': 7.473352698381729, 'max_iter': 258, 'batch_size': 51, 'shuffle': False, 'momentum': 0.6842893551343086, 'nesterovs_momentum': False}"
5,"{'solver': 'adam', 'learning_rate_init': 3.782225169177537, 'activation': 'tanh', 'hidden_layer_sizes': (18, 139, 185, 180), 'alpha': 1.728048794203066, 'max_iter': 300, 'batch_size': 51, 'shuffle': True, 'beta_1': 0.6933130772128996, 'beta_2': 0.20555678952469897}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.030777271729599705, 'activation': 'relu', 'hidden_layer_sizes': (160, 22, 186, 138, 10), 'alpha': 5.048874516406593, 'max_iter': 286, 'batch_size': 51, 'shuffle': True, 'momentum': 0.16168118242983393, 'nesterovs_momentum': False}"
6,"{'solver': 'adam', 'learning_rate_init': 4.188354788220705, 'activation': 'relu', 'hidden_layer_sizes': (88,), 'alpha': 2.7260712265020204, 'max_iter': 242, 'batch_size': 51, 'shuffle': False, 'beta_1': 0.5453269479839851, 'beta_2': 0.9397323165872334}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.0824681961395681, 'activation': 'relu', 'hidden_layer_sizes': (117, 143, 115, 75, 171), 'alpha': 5.253583532221338, 'max_iter': 272, 'batch_size': 51, 'shuffle': True, 'momentum': 0.8781635229937989, 'nesterovs_momentum': True}"
7,"{'solver': 'adam', 'learning_rate_init': 0.9171170173694524, 'activation': 'relu', 'hidden_layer_sizes': (80,), 'alpha': 0.706820221987542, 'max_iter': 270, 'batch_size': 50, 'shuffle': True, 'beta_1': 0.10192075640185103, 'beta_2': 0.9681921603473685}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.8139079030098748, 'activation': 'logistic', 'hidden_layer_sizes': (192, 94), 'alpha': 7.677062154644227, 'max_iter': 435, 'batch_size': 51, 'shuffle': False, 'momentum': 0.1371744632156009, 'nesterovs_momentum': True}"
8,"{'solver': 'adam', 'learning_rate_init': 8.98922863697256, 'activation': 'relu', 'hidden_layer_sizes': (187,), 'alpha': 7.409910492316676, 'max_iter': 481, 'batch_size': 50, 'shuffle': True, 'beta_1': 0.12230045787624574, 'beta_2': 0.9244299023623264}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.7609808728776728, 'activation': 'tanh', 'hidden_layer_sizes': (16,), 'alpha': 8.497451882729749, 'max_iter': 478, 'batch_size': 50, 'shuffle': True, 'momentum': 0.4978886787772728, 'nesterovs_momentum': False}"
9,"{'solver': 'adam', 'learning_rate_init': 3.375364584338964, 'activation': 'relu', 'hidden_layer_sizes': (124,), 'alpha': 4.7735567051020675, 'max_iter': 278, 'batch_size': 50, 'shuffle': False, 'beta_1': 0.8354094912305261, 'beta_2': 0.4670531528006332}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 5.0168890596484825, 'activation': 'tanh', 'hidden_layer_sizes': (183, 190, 81, 106), 'alpha': 9.00781483902035, 'max_iter': 135, 'batch_size': 51, 'shuffle': False, 'momentum': 0.24881456072033478, 'nesterovs_momentum': False}"
