,MLP
0,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.9251242256196712, 'activation': 'tanh', 'hidden_layer_sizes': (69,), 'alpha': 6.985582667927555, 'max_iter': 147, 'batch_size': 51, 'shuffle': False, 'momentum': 0.26083433077216756, 'nesterovs_momentum': False}"
1,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.7513088351750684, 'activation': 'logistic', 'hidden_layer_sizes': (63, 63), 'alpha': 1.0240960931817613, 'max_iter': 129, 'batch_size': 50, 'shuffle': True, 'momentum': 0.3230143957874232, 'nesterovs_momentum': False}"
2,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 3.5712326624764668, 'activation': 'relu', 'hidden_layer_sizes': (79,), 'alpha': 4.083474632785995, 'max_iter': 481, 'batch_size': 51, 'shuffle': True, 'momentum': 0.5914838668970713, 'nesterovs_momentum': False}"
3,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 5.898849514472909, 'activation': 'logistic', 'hidden_layer_sizes': (138, 122), 'alpha': 6.122425154160568, 'max_iter': 298, 'batch_size': 51, 'shuffle': False, 'momentum': 0.7907849357228699, 'nesterovs_momentum': True}"
4,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.1919991117395106, 'activation': 'tanh', 'hidden_layer_sizes': (40, 108, 173, 101), 'alpha': 7.473352698381729, 'max_iter': 258, 'batch_size': 51, 'shuffle': False, 'momentum': 0.6842893551343086, 'nesterovs_momentum': False}"
5,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.030777271729599705, 'activation': 'relu', 'hidden_layer_sizes': (160, 22, 186, 138, 10), 'alpha': 5.048874516406593, 'max_iter': 286, 'batch_size': 51, 'shuffle': True, 'momentum': 0.16168118242983393, 'nesterovs_momentum': False}"
6,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.0824681961395681, 'activation': 'relu', 'hidden_layer_sizes': (117, 143, 115, 75, 171), 'alpha': 5.253583532221338, 'max_iter': 272, 'batch_size': 51, 'shuffle': True, 'momentum': 0.8781635229937989, 'nesterovs_momentum': True}"
7,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.8139079030098748, 'activation': 'logistic', 'hidden_layer_sizes': (192, 94), 'alpha': 7.677062154644227, 'max_iter': 435, 'batch_size': 51, 'shuffle': False, 'momentum': 0.1371744632156009, 'nesterovs_momentum': True}"
8,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.7609808728776728, 'activation': 'tanh', 'hidden_layer_sizes': (16,), 'alpha': 8.497451882729749, 'max_iter': 478, 'batch_size': 50, 'shuffle': True, 'momentum': 0.4978886787772728, 'nesterovs_momentum': False}"
9,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 5.0168890596484825, 'activation': 'tanh', 'hidden_layer_sizes': (183, 190, 81, 106), 'alpha': 9.00781483902035, 'max_iter': 135, 'batch_size': 51, 'shuffle': False, 'momentum': 0.24881456072033478, 'nesterovs_momentum': False}"
