,MLP (SGD)
0,0.26083433077216756
1,0.3230143957874232
2,0.5914838668970713
3,0.7907849357228699
4,0.6842893551343086
5,0.16168118242983393
6,0.8781635229937989
7,0.1371744632156009
8,0.4978886787772728
9,0.24881456072033478
10,0.4359237168999876
11,0.288531837541609
12,0.18641434046628225
13,0.8789672847793963
14,0.714534987045709
15,0.2980426834809604
16,0.5827229177623292
17,0.46551882779180087
18,0.16045827487788253
19,0.8334151502088597
20,0.05327041987378547
21,0.5393840493445545
22,0.6304002135898964
23,0.12904357039694736
24,0.9718922034670067
25,0.7937046368982241
26,0.11687672152571119
27,0.4537551421788516
28,0.8274025121929387
29,0.8766233457649795
