,SLM
0,0.8431372549019608
1,0.9117647058823529
2,0.8137254901960784
3,0.9019607843137255
4,0.8235294117647058
5,0.8431372549019608
6,0.9509803921568627
7,0.7647058823529411
8,0.9117647058823529
9,0.9019607843137255
10,0.9019607843137255
11,0.8333333333333334
12,0.8235294117647058
13,0.8137254901960784
14,0.9313725490196079
15,0.9019607843137255
16,0.8725490196078431
17,0.7450980392156863
18,0.9019607843137255
19,0.7941176470588235
20,0.9117647058823529
21,0.9411764705882353
22,0.9019607843137255
23,0.8365384615384616
24,0.8942307692307693
25,0.9134615384615384
26,0.9326923076923077
27,0.8653846153846154
28,0.8173076923076923
29,0.7307692307692307
