,"SLM (BLS) + TIE, SLM (BLS) + EDV","SLM (OLS), SLM (OLS) + RST, SLM (OLS) + RWT","SLM (BLS), SLM (BLS) + RST, SLM (BLS) + RWT",SLM (OLS) + EDV
0,233,83987,26182,142
1,392,17677,11046,26
2,374,143363,57885,188
3,154,12985,15802,140
4,749,107682,18909,104
5,172,162586,4326,303
6,38,64970,7566,164
7,605,4381,5772,214
8,895,9472,532623,397
9,425,45133,1947,175
10,97691,13437,3892,561
11,3601,9054,1452,70
12,420,2322,5012,102
13,259,146601,32101,122
14,795,79137,2603,216
15,699,47663,16700,146
16,327,309931,576,146
17,368,8528,6223,276
18,217,59205,38406,445
19,396,740932,1548,295
20,299,88270,21997,518
21,3036,237173,4924,203
22,144,7169,22536,54
23,304,776854,2575,651
24,110,13392,5332,432
25,387,87207,6726,227
26,115,376813,2647,747
27,1172,74985,5364,400
28,130,6507,4798,593
29,452,88916,7779,371
