,"SLM (BLS) + TIE, SLM (BLS) + EDV","SLM (OLS), SLM (OLS) + RST, SLM (OLS) + RWT","SLM (BLS), SLM (BLS) + RST, SLM (BLS) + RWT",SLM (OLS) + EDV
0,3,332,279,2
1,3,90,303,1
2,7,458,393,1
3,1,104,395,3
4,9,374,430,1
5,1,492,392,4
6,1,145,251,3
7,6,50,190,1
8,11,301,441,4
9,11,228,467,1
10,358,382,210,4
11,89,268,369,1
12,3,81,459,2
13,9,460,309,2
14,22,325,168,5
15,11,249,490,2
16,3,417,202,2
17,10,260,206,2
18,1,283,329,4
19,4,442,399,4
20,3,210,192,4
21,78,287,500,4
22,1,70,345,1
23,1,459,120,6
24,1,390,340,3
25,4,168,138,5
26,1,354,239,6
27,27,327,456,4
28,1,208,269,6
29,12,335,429,2
