,"SLM (BLS) + TIE, SLM (BLS) + EDV","SLM (OLS), SLM (OLS) + RST, SLM (OLS) + RWT","SLM (BLS), SLM (BLS) + RST, SLM (BLS) + RWT",SLM (OLS) + EDV
0,16,1020,534,8
1,24,444,294,2
2,33,1368,1070,7
3,6,324,427,4
4,42,1137,433,2
5,24,1493,146,13
6,2,1064,268,4
7,38,152,212,8
8,62,302,3093,14
9,12,698,130,5
10,1049,383,149,29
11,90,269,108,2
12,15,82,163,3
13,23,1406,714,3
14,23,968,128,6
15,59,741,538,3
16,13,2120,49,3
17,11,261,202,18
18,18,848,760,19
19,29,3996,113,15
20,12,1072,562,18
21,79,2027,155,5
22,6,209,570,2
23,18,4115,169,21
24,2,391,181,14
25,16,1211,252,6
26,9,2560,100,27
27,28,967,231,16
28,19,209,194,23
29,13,1005,309,13
