,MLP (LBFGS),MLP (ADAM),MLP (SGD)
0,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (4, 170, 14, 172, 115), 'alpha': 2.427374194140176, 'max_iter': 580}","{'solver': 'adam', 'learning_rate_init': 0.9494980563006661, 'activation': 'logistic', 'hidden_layer_sizes': (161, 73, 15, 81), 'alpha': 1.9554697977907765, 'max_iter': 257, 'batch_size': 198, 'shuffle': True, 'beta_1': 0.7349516403232692, 'beta_2': 0.9949881883943417}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.4620475588342056, 'activation': 'logistic', 'hidden_layer_sizes': (57, 101, 161, 149, 101), 'alpha': 0, 'max_iter': 412, 'batch_size': 60, 'shuffle': True, 'momentum': 0.3082953828628134, 'nesterovs_momentum': True}"
1,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (73, 155, 167, 160, 152), 'alpha': 0, 'max_iter': 438}","{'solver': 'adam', 'learning_rate_init': 0.7571320230551222, 'activation': 'relu', 'hidden_layer_sizes': (135, 100, 33), 'alpha': 0, 'max_iter': 725, 'batch_size': 82, 'shuffle': False, 'beta_1': 0.3159681030441211, 'beta_2': 0.6792437221420154}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.3606015395258378, 'activation': 'logistic', 'hidden_layer_sizes': (45, 184, 120, 114, 163), 'alpha': 0, 'max_iter': 57, 'batch_size': 160, 'shuffle': False, 'momentum': 0.2241176756220154, 'nesterovs_momentum': True}"
2,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (147, 162, 146), 'alpha': 3.233251911202043, 'max_iter': 389}","{'solver': 'adam', 'learning_rate_init': 0.660139798788494, 'activation': 'logistic', 'hidden_layer_sizes': (156,), 'alpha': 4.091174850081639, 'max_iter': 493, 'batch_size': 169, 'shuffle': False, 'beta_1': 0.46327182075107215, 'beta_2': 0.9829632549618346}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.3519403327166127, 'activation': 'relu', 'hidden_layer_sizes': (132, 62, 134, 193), 'alpha': 0, 'max_iter': 77, 'batch_size': 307, 'shuffle': False, 'momentum': 0.25632943811745723, 'nesterovs_momentum': True}"
3,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (82, 150, 37, 127, 110), 'alpha': 0.34249381699612236, 'max_iter': 939}","{'solver': 'adam', 'learning_rate_init': 0.08853127038031217, 'activation': 'relu', 'hidden_layer_sizes': (199, 52, 89), 'alpha': 0.7851274987026959, 'max_iter': 715, 'batch_size': 208, 'shuffle': True, 'beta_1': 0.2768863981482644, 'beta_2': 0.48801739777172803}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.17401527878951545, 'activation': 'logistic', 'hidden_layer_sizes': (74, 124, 100, 94, 62), 'alpha': 1.9562611263292227, 'max_iter': 229, 'batch_size': 75, 'shuffle': True, 'momentum': 0.5196454259711867, 'nesterovs_momentum': False}"
4,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (83, 2, 86, 189), 'alpha': 0, 'max_iter': 859}","{'solver': 'adam', 'learning_rate_init': 0.35544320080361497, 'activation': 'relu', 'hidden_layer_sizes': (13, 4, 75), 'alpha': 0, 'max_iter': 247, 'batch_size': 163, 'shuffle': True, 'beta_1': 0.42193026490272106, 'beta_2': 0.23572505714357006}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.23461133771614257, 'activation': 'tanh', 'hidden_layer_sizes': (159, 11, 87), 'alpha': 1.885054545527072, 'max_iter': 258, 'batch_size': 112, 'shuffle': True, 'momentum': 0.2697731257171521, 'nesterovs_momentum': False}"
5,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (67, 132, 145), 'alpha': 1.6358185074156966, 'max_iter': 40}","{'solver': 'adam', 'learning_rate_init': 1.4210463545314778, 'activation': 'tanh', 'hidden_layer_sizes': (94, 167, 44, 1), 'alpha': 4.239847433214916, 'max_iter': 13, 'batch_size': 80, 'shuffle': False, 'beta_1': 0.6058991935908438, 'beta_2': 0.29456996557389015}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.5371374105727836, 'activation': 'logistic', 'hidden_layer_sizes': (155, 2, 124), 'alpha': 4.185919926660887, 'max_iter': 152, 'batch_size': 132, 'shuffle': True, 'momentum': 0.4211864635553798, 'nesterovs_momentum': True}"
6,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (36, 73, 38, 26), 'alpha': 1.147741737638303, 'max_iter': 641}","{'solver': 'adam', 'learning_rate_init': 0.13444551031697233, 'activation': 'relu', 'hidden_layer_sizes': (148, 113, 71, 27), 'alpha': 0, 'max_iter': 889, 'batch_size': 149, 'shuffle': True, 'beta_1': 0.28359885469901763, 'beta_2': 0.6112296985651171}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.6635374929768787, 'activation': 'logistic', 'hidden_layer_sizes': (126, 21, 23, 106), 'alpha': 0.4561538839143765, 'max_iter': 552, 'batch_size': 174, 'shuffle': True, 'momentum': 0.06996149130318176, 'nesterovs_momentum': True}"
7,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (77, 93, 171, 22), 'alpha': 1.2823026817734628, 'max_iter': 4}","{'solver': 'adam', 'learning_rate_init': 0.7318154827965977, 'activation': 'logistic', 'hidden_layer_sizes': (173, 39, 54), 'alpha': 0, 'max_iter': 941, 'batch_size': 347, 'shuffle': False, 'beta_1': 0.43170310552249785, 'beta_2': 0.9564289426450411}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.27111367797322583, 'activation': 'relu', 'hidden_layer_sizes': (134, 50, 167, 28, 32), 'alpha': 0, 'max_iter': 423, 'batch_size': 174, 'shuffle': False, 'momentum': 0.9171012957040663, 'nesterovs_momentum': True}"
8,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (141, 86, 99, 149), 'alpha': 2.4588981282129043, 'max_iter': 832}","{'solver': 'adam', 'learning_rate_init': 0.12030564485893695, 'activation': 'logistic', 'hidden_layer_sizes': (190, 169, 90, 47), 'alpha': 0, 'max_iter': 107, 'batch_size': 67, 'shuffle': False, 'beta_1': 0.05106230963275701, 'beta_2': 0.8956554633720492}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.3375115445804429, 'activation': 'logistic', 'hidden_layer_sizes': (175, 166, 166), 'alpha': 0, 'max_iter': 774, 'batch_size': 302, 'shuffle': True, 'momentum': 0.25314238638255543, 'nesterovs_momentum': False}"
9,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (137, 161, 195, 47), 'alpha': 3.11556452194146, 'max_iter': 585}","{'solver': 'adam', 'learning_rate_init': 0.763066905292045, 'activation': 'logistic', 'hidden_layer_sizes': (31, 32), 'alpha': 3.619595912089166, 'max_iter': 281, 'batch_size': 151, 'shuffle': False, 'beta_1': 0.11124936068634929, 'beta_2': 0.8244273104965179}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.3304107252830222, 'activation': 'logistic', 'hidden_layer_sizes': (105, 60, 50, 15), 'alpha': 0.1512852294079248, 'max_iter': 447, 'batch_size': 265, 'shuffle': True, 'momentum': 0.45593943517678276, 'nesterovs_momentum': False}"
