,mlp
0,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.4620475588342056, 'activation': 'logistic', 'hidden_layer_sizes': (57, 101, 161, 149, 101), 'alpha': 0, 'max_iter': 412, 'batch_size': 60, 'shuffle': True, 'momentum': 0.3082953828628134, 'nesterovs_momentum': True}"
1,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.3606015395258378, 'activation': 'logistic', 'hidden_layer_sizes': (45, 184, 120, 114, 163), 'alpha': 0, 'max_iter': 57, 'batch_size': 160, 'shuffle': False, 'momentum': 0.2241176756220154, 'nesterovs_momentum': True}"
2,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.3519403327166127, 'activation': 'relu', 'hidden_layer_sizes': (132, 62, 134, 193), 'alpha': 0, 'max_iter': 77, 'batch_size': 307, 'shuffle': False, 'momentum': 0.25632943811745723, 'nesterovs_momentum': True}"
3,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.17401527878951545, 'activation': 'logistic', 'hidden_layer_sizes': (74, 124, 100, 94, 62), 'alpha': 1.9562611263292227, 'max_iter': 229, 'batch_size': 75, 'shuffle': True, 'momentum': 0.5196454259711867, 'nesterovs_momentum': False}"
4,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.23461133771614257, 'activation': 'tanh', 'hidden_layer_sizes': (159, 11, 87), 'alpha': 1.885054545527072, 'max_iter': 258, 'batch_size': 112, 'shuffle': True, 'momentum': 0.2697731257171521, 'nesterovs_momentum': False}"
5,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.5371374105727836, 'activation': 'logistic', 'hidden_layer_sizes': (155, 2, 124), 'alpha': 4.185919926660887, 'max_iter': 152, 'batch_size': 132, 'shuffle': True, 'momentum': 0.4211864635553798, 'nesterovs_momentum': True}"
6,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.6635374929768787, 'activation': 'logistic', 'hidden_layer_sizes': (126, 21, 23, 106), 'alpha': 0.4561538839143765, 'max_iter': 552, 'batch_size': 174, 'shuffle': True, 'momentum': 0.06996149130318176, 'nesterovs_momentum': True}"
7,"{'solver': 'adam', 'learning_rate_init': 0.7318154827965977, 'activation': 'logistic', 'hidden_layer_sizes': (173, 39, 54), 'alpha': 0, 'max_iter': 941, 'batch_size': 347, 'shuffle': False, 'beta_1': 0.43170310552249785, 'beta_2': 0.9564289426450411}"
8,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (141, 86, 99, 149), 'alpha': 2.4588981282129043, 'max_iter': 832}"
9,"{'solver': 'adam', 'learning_rate_init': 0.763066905292045, 'activation': 'logistic', 'hidden_layer_sizes': (31, 32), 'alpha': 3.619595912089166, 'max_iter': 281, 'batch_size': 151, 'shuffle': False, 'beta_1': 0.11124936068634929, 'beta_2': 0.8244273104965179}"
10,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.5505939534991828, 'activation': 'logistic', 'hidden_layer_sizes': (66, 176), 'alpha': 0, 'max_iter': 105, 'batch_size': 184, 'shuffle': False, 'momentum': 0.8538308043671707, 'nesterovs_momentum': True}"
11,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.06580738642611474, 'activation': 'logistic', 'hidden_layer_sizes': (191, 64), 'alpha': 4.917061169259398, 'max_iter': 570, 'batch_size': 269, 'shuffle': True, 'momentum': 0.012976996978239688, 'nesterovs_momentum': False}"
