,MLP (SGD)
0,0.3082953828628134
1,0.2241176756220154
2,0.25632943811745723
3,0.5196454259711867
4,0.2697731257171521
5,0.4211864635553798
6,0.06996149130318176
7,0.9171012957040663
8,0.25314238638255543
9,0.45593943517678276
10,0.8538308043671707
11,0.012976996978239688
12,0.12294689018736257
13,0.28460643706022976
14,0.08158627859076023
15,0.6420375339095163
16,0.25123699567099333
17,0.13940818483598752
18,0.18502572436337975
19,0.31709464682172056
20,0.7544988339029349
21,0.2508261512524095
22,0.421538011347999
23,0.07753407480936919
24,0.17889146394805105
25,0.4110387403023654
26,0.8625512391938583
27,0.956198062903009
28,0.16592754772579923
29,0.5112077443237901
