,"SLM (FLS), SLM (FLS) + RST, SLM (FLS) + RWT","SLM (OLS), SLM (OLS) + RST, SLM (OLS) + RWT","SLM (FLS) + TIE, SLM (FLS) + EDV",SLM (OLS) + EDV
0,87,12,5,2
1,31,3,2,1
2,18,25,1,3
3,147,10,1,2
4,49,14,12,4
5,86,26,1,1
6,136,19,2,1
7,151,43,200,1
8,144,17,1,2
9,143,28,2,1
10,24,3,7,1
11,45,6,10,4
12,15,2,200,13
13,99,6,200,2
14,104,47,6,24
15,68,42,1,2
16,137,8,1,1
17,44,19,200,3
18,182,6,1,9
19,44,14,1,1
20,67,25,12,6
21,46,7,200,1
22,52,5,4,2
23,4,15,1,3
24,191,29,15,1
25,19,7,9,1
26,176,6,6,1
27,54,21,4,2
28,48,17,1,4
29,20,64,200,1
