,MLP (LBFGS),MLP (ADAM),MLP (SGD)
0,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (35, 54, 148, 41, 47), 'alpha': 2.7314037797361332, 'max_iter': 784}","{'solver': 'adam', 'learning_rate_init': 0.26589255320838956, 'activation': 'relu', 'hidden_layer_sizes': (181, 65, 5), 'alpha': 0, 'max_iter': 948, 'batch_size': 50, 'shuffle': True, 'beta_1': 0.5372182772698068, 'beta_2': 0.9305754307784702}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.47665220373350453, 'activation': 'logistic', 'hidden_layer_sizes': (152, 44, 187, 179, 186), 'alpha': 0, 'max_iter': 934, 'batch_size': 66, 'shuffle': True, 'momentum': 0.02372207861906889, 'nesterovs_momentum': False}"
1,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (163, 91, 181), 'alpha': 3.895528749185886, 'max_iter': 406}","{'solver': 'adam', 'learning_rate_init': 0.7178561915548555, 'activation': 'logistic', 'hidden_layer_sizes': (46, 61, 4), 'alpha': 3.9377483987811, 'max_iter': 323, 'batch_size': 102, 'shuffle': True, 'beta_1': 0.14178843205361816, 'beta_2': 0.24862060609860892}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.268799433940361, 'activation': 'logistic', 'hidden_layer_sizes': (72, 150, 21), 'alpha': 3.2500551893416496, 'max_iter': 199, 'batch_size': 68, 'shuffle': False, 'momentum': 0.02723174568661148, 'nesterovs_momentum': True}"
2,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (174, 13, 64, 141), 'alpha': 4.410798953867382, 'max_iter': 64}","{'solver': 'adam', 'learning_rate_init': 0.0480812796359691, 'activation': 'relu', 'hidden_layer_sizes': (61, 99, 195, 84), 'alpha': 0, 'max_iter': 267, 'batch_size': 97, 'shuffle': False, 'beta_1': 0.5220738920100004, 'beta_2': 0.32452969316163316}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.5447413565657423, 'activation': 'logistic', 'hidden_layer_sizes': (91, 155, 157, 192, 154), 'alpha': 0, 'max_iter': 964, 'batch_size': 74, 'shuffle': True, 'momentum': 0.4705771282441917, 'nesterovs_momentum': True}"
3,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (180, 86, 187, 189), 'alpha': 3.8795093800785785, 'max_iter': 627}","{'solver': 'adam', 'learning_rate_init': 0.08466415893402496, 'activation': 'logistic', 'hidden_layer_sizes': (31, 68), 'alpha': 4.621417789083923, 'max_iter': 221, 'batch_size': 92, 'shuffle': True, 'beta_1': 0.693898416589032, 'beta_2': 0.7156381453800563}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.5649766273240757, 'activation': 'logistic', 'hidden_layer_sizes': (161, 119, 58), 'alpha': 0, 'max_iter': 13, 'batch_size': 73, 'shuffle': True, 'momentum': 0.43537400054458764, 'nesterovs_momentum': False}"
4,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (49, 33, 139), 'alpha': 4.277274081281943, 'max_iter': 520}","{'solver': 'adam', 'learning_rate_init': 1.0058735275934785, 'activation': 'relu', 'hidden_layer_sizes': (143, 153), 'alpha': 0, 'max_iter': 439, 'batch_size': 53, 'shuffle': True, 'beta_1': 0.22924877767834223, 'beta_2': 0.06870703856181573}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.904577053278518, 'activation': 'logistic', 'hidden_layer_sizes': (22, 126, 153), 'alpha': 0, 'max_iter': 619, 'batch_size': 118, 'shuffle': False, 'momentum': 0.2906846147278339, 'nesterovs_momentum': False}"
5,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (115, 39, 36), 'alpha': 2.428463690563004, 'max_iter': 84}","{'solver': 'adam', 'learning_rate_init': 1.6886670553683847, 'activation': 'logistic', 'hidden_layer_sizes': (6, 94), 'alpha': 4.959638837785868, 'max_iter': 782, 'batch_size': 61, 'shuffle': False, 'beta_1': 0.6023416507584, 'beta_2': 0.9166205526483449}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.09842434130115342, 'activation': 'logistic', 'hidden_layer_sizes': (22, 67, 84, 54, 26), 'alpha': 0, 'max_iter': 553, 'batch_size': 64, 'shuffle': True, 'momentum': 0.3346717976043072, 'nesterovs_momentum': False}"
6,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (13, 61, 77, 27, 186), 'alpha': 2.033707128782694, 'max_iter': 601}","{'solver': 'adam', 'learning_rate_init': 0.05653229338947265, 'activation': 'logistic', 'hidden_layer_sizes': (57, 132, 41), 'alpha': 4.953669945902773, 'max_iter': 927, 'batch_size': 115, 'shuffle': False, 'beta_1': 0.25431033459677316, 'beta_2': 0.5745727655247221}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.6776532390003176, 'activation': 'logistic', 'hidden_layer_sizes': (84, 146, 152, 174, 104), 'alpha': 3.641308775224596, 'max_iter': 855, 'batch_size': 117, 'shuffle': True, 'momentum': 0.6097684323259264, 'nesterovs_momentum': True}"
7,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (105, 90, 175, 172, 197), 'alpha': 0, 'max_iter': 368}","{'solver': 'adam', 'learning_rate_init': 0.051969444680723745, 'activation': 'logistic', 'hidden_layer_sizes': (13, 176), 'alpha': 0, 'max_iter': 198, 'batch_size': 104, 'shuffle': False, 'beta_1': 0.8347986382784676, 'beta_2': 0.1990780183402905}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.8106384016448352, 'activation': 'logistic', 'hidden_layer_sizes': (168, 64, 199, 142), 'alpha': 0, 'max_iter': 169, 'batch_size': 60, 'shuffle': False, 'momentum': 0.573726311764783, 'nesterovs_momentum': True}"
8,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (34, 33, 164, 200), 'alpha': 4.422696139336142, 'max_iter': 986}","{'solver': 'adam', 'learning_rate_init': 0.17325750139151033, 'activation': 'logistic', 'hidden_layer_sizes': (184, 60), 'alpha': 0, 'max_iter': 298, 'batch_size': 101, 'shuffle': False, 'beta_1': 0.4840514547615398, 'beta_2': 0.4184399983643377}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.8911628750291131, 'activation': 'logistic', 'hidden_layer_sizes': (132, 105, 65, 87), 'alpha': 0, 'max_iter': 303, 'batch_size': 53, 'shuffle': False, 'momentum': 0.9258111171226211, 'nesterovs_momentum': True}"
9,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (27, 116, 2, 14, 89), 'alpha': 2.083498024772527, 'max_iter': 641}","{'solver': 'adam', 'learning_rate_init': 1.6757245321647363, 'activation': 'logistic', 'hidden_layer_sizes': (11, 122, 57, 3), 'alpha': 0, 'max_iter': 302, 'batch_size': 54, 'shuffle': True, 'beta_1': 0.5763825361171956, 'beta_2': 0.5132309606339307}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.2175328699880692, 'activation': 'logistic', 'hidden_layer_sizes': (47, 187, 60, 131), 'alpha': 1.4908081021148665, 'max_iter': 21, 'batch_size': 54, 'shuffle': True, 'momentum': 0.014128640860443069, 'nesterovs_momentum': False}"
10,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (61, 96, 196, 53), 'alpha': 3.9718662736432657, 'max_iter': 797}","{'solver': 'adam', 'learning_rate_init': 0.04643162111029273, 'activation': 'tanh', 'hidden_layer_sizes': (93, 28), 'alpha': 4.786462768173544, 'max_iter': 519, 'batch_size': 69, 'shuffle': False, 'beta_1': 0.6564955612017271, 'beta_2': 0.5570966841854467}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.34346355634844183, 'activation': 'logistic', 'hidden_layer_sizes': (155, 110, 126), 'alpha': 3.6313329484911208, 'max_iter': 640, 'batch_size': 126, 'shuffle': False, 'momentum': 0.21491171772455142, 'nesterovs_momentum': False}"
11,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (31, 24, 86, 49, 35), 'alpha': 1.6441023519049132, 'max_iter': 860}","{'solver': 'adam', 'learning_rate_init': 0.05346198591965172, 'activation': 'logistic', 'hidden_layer_sizes': (45, 96, 50, 105), 'alpha': 3.6117185734108928, 'max_iter': 191, 'batch_size': 63, 'shuffle': False, 'beta_1': 0.09567304501571822, 'beta_2': 0.5179963459551865}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.7629050659655306, 'activation': 'logistic', 'hidden_layer_sizes': (29, 175, 85, 154), 'alpha': 0, 'max_iter': 8, 'batch_size': 113, 'shuffle': True, 'momentum': 0.3681722893603076, 'nesterovs_momentum': False}"
12,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (34, 35, 54, 52, 33), 'alpha': 3.524972838735624, 'max_iter': 344}","{'solver': 'adam', 'learning_rate_init': 0.12271223786292373, 'activation': 'logistic', 'hidden_layer_sizes': (18, 138), 'alpha': 3.488289531133887, 'max_iter': 861, 'batch_size': 87, 'shuffle': False, 'beta_1': 0.19151452051938203, 'beta_2': 0.437714956977254}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.6313370209165674, 'activation': 'logistic', 'hidden_layer_sizes': (96, 142), 'alpha': 0, 'max_iter': 983, 'batch_size': 58, 'shuffle': False, 'momentum': 0.20108412072115436, 'nesterovs_momentum': False}"
13,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (169, 185, 5, 194), 'alpha': 0.48668989457251965, 'max_iter': 802}","{'solver': 'adam', 'learning_rate_init': 0.2166427520139688, 'activation': 'logistic', 'hidden_layer_sizes': (79, 10, 63, 65, 107), 'alpha': 1.8947495138663766, 'max_iter': 436, 'batch_size': 57, 'shuffle': True, 'beta_1': 0.9618080575966325, 'beta_2': 0.459318979414435}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.7626547054922931, 'activation': 'logistic', 'hidden_layer_sizes': (85, 12, 36, 36, 74), 'alpha': 0, 'max_iter': 433, 'batch_size': 60, 'shuffle': False, 'momentum': 0.8051473462028286, 'nesterovs_momentum': True}"
14,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (163, 2, 69, 75), 'alpha': 2.2973919567085255, 'max_iter': 769}","{'solver': 'adam', 'learning_rate_init': 1.5616630180344275, 'activation': 'logistic', 'hidden_layer_sizes': (2, 21), 'alpha': 4.095183637798253, 'max_iter': 87, 'batch_size': 68, 'shuffle': True, 'beta_1': 0.6476290331723114, 'beta_2': 0.21446401640405877}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.6938819036296469, 'activation': 'logistic', 'hidden_layer_sizes': (124, 97, 181, 99, 156), 'alpha': 0, 'max_iter': 522, 'batch_size': 102, 'shuffle': False, 'momentum': 0.36840112925544766, 'nesterovs_momentum': False}"
15,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (87, 182, 191), 'alpha': 4.003098683244441, 'max_iter': 572}","{'solver': 'adam', 'learning_rate_init': 0.3526987252483436, 'activation': 'logistic', 'hidden_layer_sizes': (191, 78, 43, 143), 'alpha': 0, 'max_iter': 589, 'batch_size': 99, 'shuffle': False, 'beta_1': 0.6261344581550838, 'beta_2': 0.14700374851597903}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.6469837923528674, 'activation': 'logistic', 'hidden_layer_sizes': (155, 76, 141, 60), 'alpha': 0, 'max_iter': 868, 'batch_size': 87, 'shuffle': False, 'momentum': 0.28229599792564675, 'nesterovs_momentum': False}"
