,mlp
0,"{'solver': 'adam', 'learning_rate_init': 0.26589255320838956, 'activation': 'relu', 'hidden_layer_sizes': (181, 65, 5), 'alpha': 0, 'max_iter': 948, 'batch_size': 50, 'shuffle': True, 'beta_1': 0.5372182772698068, 'beta_2': 0.9305754307784702}"
1,"{'solver': 'adam', 'learning_rate_init': 0.7178561915548555, 'activation': 'logistic', 'hidden_layer_sizes': (46, 61, 4), 'alpha': 3.9377483987811, 'max_iter': 323, 'batch_size': 102, 'shuffle': True, 'beta_1': 0.14178843205361816, 'beta_2': 0.24862060609860892}"
2,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.5447413565657423, 'activation': 'logistic', 'hidden_layer_sizes': (91, 155, 157, 192, 154), 'alpha': 0, 'max_iter': 964, 'batch_size': 74, 'shuffle': True, 'momentum': 0.4705771282441917, 'nesterovs_momentum': True}"
3,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.5649766273240757, 'activation': 'logistic', 'hidden_layer_sizes': (161, 119, 58), 'alpha': 0, 'max_iter': 13, 'batch_size': 73, 'shuffle': True, 'momentum': 0.43537400054458764, 'nesterovs_momentum': False}"
4,"{'solver': 'adam', 'learning_rate_init': 1.0058735275934785, 'activation': 'relu', 'hidden_layer_sizes': (143, 153), 'alpha': 0, 'max_iter': 439, 'batch_size': 53, 'shuffle': True, 'beta_1': 0.22924877767834223, 'beta_2': 0.06870703856181573}"
5,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.09842434130115342, 'activation': 'logistic', 'hidden_layer_sizes': (22, 67, 84, 54, 26), 'alpha': 0, 'max_iter': 553, 'batch_size': 64, 'shuffle': True, 'momentum': 0.3346717976043072, 'nesterovs_momentum': False}"
6,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.6776532390003176, 'activation': 'logistic', 'hidden_layer_sizes': (84, 146, 152, 174, 104), 'alpha': 3.641308775224596, 'max_iter': 855, 'batch_size': 117, 'shuffle': True, 'momentum': 0.6097684323259264, 'nesterovs_momentum': True}"
7,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.8106384016448352, 'activation': 'logistic', 'hidden_layer_sizes': (168, 64, 199, 142), 'alpha': 0, 'max_iter': 169, 'batch_size': 60, 'shuffle': False, 'momentum': 0.573726311764783, 'nesterovs_momentum': True}"
8,"{'solver': 'adam', 'learning_rate_init': 0.17325750139151033, 'activation': 'logistic', 'hidden_layer_sizes': (184, 60), 'alpha': 0, 'max_iter': 298, 'batch_size': 101, 'shuffle': False, 'beta_1': 0.4840514547615398, 'beta_2': 0.4184399983643377}"
9,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.2175328699880692, 'activation': 'logistic', 'hidden_layer_sizes': (47, 187, 60, 131), 'alpha': 1.4908081021148665, 'max_iter': 21, 'batch_size': 54, 'shuffle': True, 'momentum': 0.014128640860443069, 'nesterovs_momentum': False}"
10,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.34346355634844183, 'activation': 'logistic', 'hidden_layer_sizes': (155, 110, 126), 'alpha': 3.6313329484911208, 'max_iter': 640, 'batch_size': 126, 'shuffle': False, 'momentum': 0.21491171772455142, 'nesterovs_momentum': False}"
11,"{'solver': 'adam', 'learning_rate_init': 0.05346198591965172, 'activation': 'logistic', 'hidden_layer_sizes': (45, 96, 50, 105), 'alpha': 3.6117185734108928, 'max_iter': 191, 'batch_size': 63, 'shuffle': False, 'beta_1': 0.09567304501571822, 'beta_2': 0.5179963459551865}"
12,"{'solver': 'adam', 'learning_rate_init': 0.12271223786292373, 'activation': 'logistic', 'hidden_layer_sizes': (18, 138), 'alpha': 3.488289531133887, 'max_iter': 861, 'batch_size': 87, 'shuffle': False, 'beta_1': 0.19151452051938203, 'beta_2': 0.437714956977254}"
13,"{'solver': 'adam', 'learning_rate_init': 0.2166427520139688, 'activation': 'logistic', 'hidden_layer_sizes': (79, 10, 63, 65, 107), 'alpha': 1.8947495138663766, 'max_iter': 436, 'batch_size': 57, 'shuffle': True, 'beta_1': 0.9618080575966325, 'beta_2': 0.459318979414435}"
14,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.6938819036296469, 'activation': 'logistic', 'hidden_layer_sizes': (124, 97, 181, 99, 156), 'alpha': 0, 'max_iter': 522, 'batch_size': 102, 'shuffle': False, 'momentum': 0.36840112925544766, 'nesterovs_momentum': False}"
15,"{'solver': 'adam', 'learning_rate_init': 0.3526987252483436, 'activation': 'logistic', 'hidden_layer_sizes': (191, 78, 43, 143), 'alpha': 0, 'max_iter': 589, 'batch_size': 99, 'shuffle': False, 'beta_1': 0.6261344581550838, 'beta_2': 0.14700374851597903}"
16,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.6984823854958324, 'activation': 'relu', 'hidden_layer_sizes': (81, 116, 14, 129, 34), 'alpha': 3.97077140671461, 'max_iter': 844, 'batch_size': 89, 'shuffle': False, 'momentum': 0.8032871273383, 'nesterovs_momentum': False}"
