,MLP (ADAM)
0,0.5372182772698068
1,0.14178843205361816
2,0.5220738920100004
3,0.693898416589032
4,0.22924877767834223
5,0.6023416507584
6,0.25431033459677316
7,0.8347986382784676
8,0.4840514547615398
9,0.5763825361171956
10,0.6564955612017271
11,0.09567304501571822
12,0.19151452051938203
13,0.9618080575966325
14,0.6476290331723114
15,0.6261344581550838
16,0.7722862699962727
17,0.020917148913890328
18,0.30717742530833936
19,0.39318905623384665
20,0.5400944146304865
21,0.28026541805248356
22,0.1148204564410292
23,0.3440587659159614
24,0.2522164001188271
25,0.1333892287457887
26,0.7307549149166906
27,0.8827704319993279
28,0.48707848869295106
29,0.07638857839403418
