,SLM
0,0.997765108950326
1,0.953649060444679
2,0.9955635567663293
3,0.9889652998339611
4,0.9228963843989904
5,0.9186715545623663
6,0.9619222926883703
7,0.8808326036210327
8,0.9678146262933289
9,0.9381603115394805
10,0.9504494387843915
11,0.9370546682251919
12,0.9311985425875497
13,0.9163509092878488
14,0.9301211087612921
15,1.102735942842447
16,0.9903856506778422
17,0.9273582355461037
18,0.9021780981481948
19,0.9778540690654011
20,0.9545499232438421
21,0.9284213301396954
22,0.9458719030622993
23,0.9687936141669583
24,0.9781450998071051
25,0.9596257653780587
26,0.9945330536111653
27,0.9757506359904119
28,0.9702171344593782
29,0.9679103257040527
