,"SLM (FLS), SLM (FLS) + RST, SLM (FLS) + RWT","SLM (OLS), SLM (OLS) + RST, SLM (OLS) + RWT","SLM (FLS) + TIE, SLM (FLS) + EDV",SLM (OLS) + EDV
0,10,54,1,2
1,118,15,1,9
2,22,7,2,2
3,12,13,1,1
4,30,2,1,1
5,138,3,2,1
6,42,9,1,1
7,110,2,1,1
8,8,18,3,1
9,178,1,1,1
10,22,5,12,1
11,188,9,1,3
12,73,5,1,2
13,56,12,3,1
14,96,29,1,1
15,9,9,1,2
16,171,17,1,2
17,25,29,1,4
18,136,1,43,1
19,6,18,1,2
20,1,10,2,1
21,9,2,2,1
22,153,12,2,2
23,10,16,1,1
24,91,29,2,9
25,1,3,2,4
26,77,21,3,1
27,91,16,2,1
28,9,7,1,2
29,40,4,1,1
