,MLP (LBFGS),MLP (ADAM),MLP (SGD)
0,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (45, 3, 99), 'alpha': 4.50770737699739, 'max_iter': 503}","{'solver': 'adam', 'learning_rate_init': 0.17875920496837988, 'activation': 'logistic', 'hidden_layer_sizes': (177, 1), 'alpha': 3.4755060578236154, 'max_iter': 824, 'batch_size': 111, 'shuffle': False, 'beta_1': 0.42723302230162025, 'beta_2': 0.38420303959355956}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.2163602326586344, 'activation': 'relu', 'hidden_layer_sizes': (4,), 'alpha': 4.9142766343566056, 'max_iter': 785, 'batch_size': 82, 'shuffle': True, 'momentum': 0.4279738747807032, 'nesterovs_momentum': False}"
1,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (174, 73, 158), 'alpha': 4.797168339987324, 'max_iter': 17}","{'solver': 'adam', 'learning_rate_init': 0.3638012425199493, 'activation': 'logistic', 'hidden_layer_sizes': (92, 156, 9, 21, 83), 'alpha': 3.6866311278235537, 'max_iter': 816, 'batch_size': 234, 'shuffle': True, 'beta_1': 0.09967477545707046, 'beta_2': 0.4630175906525019}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.3029091337173244, 'activation': 'logistic', 'hidden_layer_sizes': (116, 78, 80), 'alpha': 0, 'max_iter': 792, 'batch_size': 302, 'shuffle': False, 'momentum': 0.27767693425863804, 'nesterovs_momentum': False}"
2,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (47, 196), 'alpha': 4.772190615892944, 'max_iter': 358}","{'solver': 'adam', 'learning_rate_init': 0.4821920719656482, 'activation': 'logistic', 'hidden_layer_sizes': (28, 33), 'alpha': 1.4419782174145006, 'max_iter': 295, 'batch_size': 324, 'shuffle': False, 'beta_1': 0.8632296471503246, 'beta_2': 0.5456075180347116}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.24926287753730186, 'activation': 'logistic', 'hidden_layer_sizes': (65, 68, 171), 'alpha': 0, 'max_iter': 222, 'batch_size': 200, 'shuffle': True, 'momentum': 0.5307317316875171, 'nesterovs_momentum': True}"
3,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (5, 43, 34), 'alpha': 0, 'max_iter': 18}","{'solver': 'adam', 'learning_rate_init': 0.16387818665383835, 'activation': 'logistic', 'hidden_layer_sizes': (65, 33, 5, 160), 'alpha': 0, 'max_iter': 60, 'batch_size': 311, 'shuffle': True, 'beta_1': 0.21002955318392355, 'beta_2': 0.7078110819959343}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.44591688005529007, 'activation': 'logistic', 'hidden_layer_sizes': (128, 56, 146, 71), 'alpha': 0, 'max_iter': 656, 'batch_size': 144, 'shuffle': False, 'momentum': 0.23774027259814742, 'nesterovs_momentum': True}"
4,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (61, 105, 39, 121, 89), 'alpha': 0, 'max_iter': 37}","{'solver': 'adam', 'learning_rate_init': 0.4865302452833405, 'activation': 'logistic', 'hidden_layer_sizes': (199, 198, 20, 2, 141), 'alpha': 0, 'max_iter': 703, 'batch_size': 305, 'shuffle': False, 'beta_1': 0.28974687641973274, 'beta_2': 0.9141884862730746}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.5540187275954217, 'activation': 'relu', 'hidden_layer_sizes': (77, 38, 155, 5), 'alpha': 0, 'max_iter': 722, 'batch_size': 171, 'shuffle': False, 'momentum': 0.5553844233283683, 'nesterovs_momentum': False}"
5,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (108, 168, 180, 90, 108), 'alpha': 0, 'max_iter': 51}","{'solver': 'adam', 'learning_rate_init': 1.0069415589023352, 'activation': 'logistic', 'hidden_layer_sizes': (190,), 'alpha': 2.20067533750778, 'max_iter': 473, 'batch_size': 72, 'shuffle': True, 'beta_1': 0.7383577755587758, 'beta_2': 0.7997507588505995}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.0713673084013773, 'activation': 'logistic', 'hidden_layer_sizes': (75, 10), 'alpha': 1.3345220523295356, 'max_iter': 683, 'batch_size': 297, 'shuffle': True, 'momentum': 0.11083534174350283, 'nesterovs_momentum': True}"
6,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (184, 8, 141, 85), 'alpha': 0, 'max_iter': 97}","{'solver': 'adam', 'learning_rate_init': 0.954574350973837, 'activation': 'logistic', 'hidden_layer_sizes': (156,), 'alpha': 4.827734303817197, 'max_iter': 313, 'batch_size': 189, 'shuffle': False, 'beta_1': 0.6554822750179292, 'beta_2': 0.9410535057593731}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.0260416404450659, 'activation': 'relu', 'hidden_layer_sizes': (88, 41), 'alpha': 0, 'max_iter': 771, 'batch_size': 267, 'shuffle': True, 'momentum': 0.1512578060632919, 'nesterovs_momentum': True}"
7,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (58, 39, 170, 4), 'alpha': 0, 'max_iter': 532}","{'solver': 'adam', 'learning_rate_init': 0.44788134640442284, 'activation': 'logistic', 'hidden_layer_sizes': (181, 99, 192, 64), 'alpha': 3.1205785267300303, 'max_iter': 816, 'batch_size': 69, 'shuffle': False, 'beta_1': 0.5857747372328584, 'beta_2': 0.9967649919097512}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.5835014353776005, 'activation': 'logistic', 'hidden_layer_sizes': (147, 7, 77, 42, 23), 'alpha': 0.6036752495143063, 'max_iter': 703, 'batch_size': 322, 'shuffle': False, 'momentum': 0.19808968493028173, 'nesterovs_momentum': True}"
8,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (98, 58, 130, 60, 40), 'alpha': 0, 'max_iter': 248}","{'solver': 'adam', 'learning_rate_init': 0.08263507182809335, 'activation': 'relu', 'hidden_layer_sizes': (113, 75, 74), 'alpha': 2.3857567937322997, 'max_iter': 528, 'batch_size': 145, 'shuffle': False, 'beta_1': 0.31039222416517476, 'beta_2': 0.7673099624982046}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.5549817119879922, 'activation': 'relu', 'hidden_layer_sizes': (165, 137), 'alpha': 4.191895243731141, 'max_iter': 384, 'batch_size': 139, 'shuffle': False, 'momentum': 0.12187653435416099, 'nesterovs_momentum': True}"
9,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (61, 56, 174, 36), 'alpha': 0, 'max_iter': 946}","{'solver': 'adam', 'learning_rate_init': 0.11637199008272725, 'activation': 'relu', 'hidden_layer_sizes': (163, 101, 45, 78, 197), 'alpha': 0, 'max_iter': 509, 'batch_size': 76, 'shuffle': True, 'beta_1': 0.6615488045871745, 'beta_2': 0.5326137993004241}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.3928782344623089, 'activation': 'relu', 'hidden_layer_sizes': (180, 172, 15), 'alpha': 0, 'max_iter': 874, 'batch_size': 97, 'shuffle': True, 'momentum': 0.4696810524508499, 'nesterovs_momentum': False}"
