,MLP (ADAM)
0,0.42723302230162025
1,0.09967477545707046
2,0.8632296471503246
3,0.21002955318392355
4,0.28974687641973274
5,0.7383577755587758
6,0.6554822750179292
7,0.5857747372328584
8,0.31039222416517476
9,0.6615488045871745
10,0.30658121718755443
11,0.2933790590996073
12,0.8403503550138047
13,0.3010240106150009
14,0.5189392163982834
15,0.5216266990677395
16,0.08410846385391514
17,0.35615180389998813
18,0.8323815946551605
19,0.9418489396064436
20,0.8502533362581538
21,0.369661320135111
22,0.13228259204129453
23,0.8921679035847883
24,0.4849630942378175
25,0.6478560149934619
26,0.47575944151653865
27,0.3478487853308483
28,0.5408110677501251
29,0.5809322082570421
