,MLP (SGD)
0,0.4279738747807032
1,0.27767693425863804
2,0.5307317316875171
3,0.23774027259814742
4,0.5553844233283683
5,0.11083534174350283
6,0.1512578060632919
7,0.19808968493028173
8,0.12187653435416099
9,0.4696810524508499
10,0.041046495202364454
11,0.04940133036047618
12,0.9716114304910702
13,0.4324336740862844
14,0.9247894778417842
15,0.049983725366941144
16,0.8602694504420668
17,0.47786138507514736
18,0.3385441906647507
19,0.0613080787086987
20,0.04819792155994972
21,0.2135854084723248
22,0.34117067010107155
23,0.8325605403076676
24,0.5566649024531838
25,0.18258710623719804
26,0.10931937094015888
27,0.44978032937306506
28,0.9158386164811205
29,0.7964665391253879
