,slm
0,1.0073583893315663
1,0.9607377045947517
2,0.969089348351953
3,0.9547186728869774
4,0.9708906338941925
5,0.9678301986957742
6,0.9842130511131864
7,0.9468020295558741
8,0.9775634287005313
9,0.93297024987136
10,0.9823097289194141
11,0.9818803186871077
12,0.9928648989445633
13,0.9937421662054448
14,0.9717391467918279
15,0.9860160749672463
16,0.8809257364449062
17,0.9593800708257477
18,0.9970468144801073
19,0.9561588836568209
20,0.9481140160348625
21,0.8280017939658451
22,0.8717453225032517
23,0.9729737583704032
24,0.8926390292444043
25,0.769743916288609
26,0.9671607293022263
27,1.003267933814349
28,0.9610376561743673
29,0.9350257518250537
