,"SLM (FLS), SLM (FLS) + RST, SLM (FLS) + RWT","SLM (OLS), SLM (OLS) + RST, SLM (OLS) + RWT","SLM (FLS) + TIE, SLM (FLS) + EDV",SLM (OLS) + EDV
0,100,4,2,1
1,40,4,14,3
2,76,4,4,4
3,111,31,5,1
4,15,11,1,1
5,20,16,3,4
6,88,2,2,1
7,47,35,5,1
8,196,14,2,1
9,26,18,4,4
10,32,1,7,1
11,9,57,4,1
12,59,25,1,12
13,196,17,2,1
14,94,17,1,1
15,29,1,3,2
16,105,3,200,3
17,9,30,3,1
18,13,4,1,1
19,38,13,1,8
20,184,27,1,1
21,123,8,3,2
22,125,7,1,2
23,29,14,1,2
24,92,12,2,2
25,50,24,200,2
26,30,45,1,2
27,179,76,11,2
28,24,8,1,14
29,90,11,8,10
