,MLP (ADAM),MLP (SGD)
0,"{'solver': 'adam', 'learning_rate_init': 9.732533252230724, 'activation': 'relu', 'hidden_layer_sizes': (122,), 'alpha': 1.8782442153732384, 'max_iter': 12, 'batch_size': 59, 'shuffle': False, 'beta_1': 0.5821415799985656, 'beta_2': 0.47975274680011154}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 8.403569394919314, 'activation': 'relu', 'hidden_layer_sizes': (153, 82), 'alpha': 8.34844289373547, 'max_iter': 255, 'batch_size': 76, 'shuffle': True, 'momentum': 0.6904644116583735, 'nesterovs_momentum': False}"
1,"{'solver': 'adam', 'learning_rate_init': 0.8650771098547647, 'activation': 'relu', 'hidden_layer_sizes': (179, 170, 197, 22), 'alpha': 4.301467822674273, 'max_iter': 464, 'batch_size': 59, 'shuffle': False, 'beta_1': 0.854007996957156, 'beta_2': 0.924493514049871}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.5826042056851668, 'activation': 'relu', 'hidden_layer_sizes': (121,), 'alpha': 8.719065406663074, 'max_iter': 237, 'batch_size': 60, 'shuffle': True, 'momentum': 0.911462171449718, 'nesterovs_momentum': True}"
2,"{'solver': 'adam', 'learning_rate_init': 0.5174808475457071, 'activation': 'relu', 'hidden_layer_sizes': (62, 106, 52, 13, 95), 'alpha': 7.9806035702058375, 'max_iter': 119, 'batch_size': 62, 'shuffle': True, 'beta_1': 0.38356688780020964, 'beta_2': 0.7190275009133857}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 8.521006727642522, 'activation': 'logistic', 'hidden_layer_sizes': (45, 129, 27, 108, 135), 'alpha': 5.562421823342328, 'max_iter': 118, 'batch_size': 86, 'shuffle': False, 'momentum': 0.9559478374677575, 'nesterovs_momentum': False}"
3,"{'solver': 'adam', 'learning_rate_init': 7.139102431486458, 'activation': 'relu', 'hidden_layer_sizes': (21, 83), 'alpha': 7.386012651853411, 'max_iter': 370, 'batch_size': 78, 'shuffle': False, 'beta_1': 0.18919129616522232, 'beta_2': 0.6158271440031371}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.2878501231154684, 'activation': 'tanh', 'hidden_layer_sizes': (190, 170), 'alpha': 1.276771260716304, 'max_iter': 45, 'batch_size': 61, 'shuffle': True, 'momentum': 0.4467833786325689, 'nesterovs_momentum': True}"
4,"{'solver': 'adam', 'learning_rate_init': 2.0178772512599914, 'activation': 'relu', 'hidden_layer_sizes': (182, 121, 66, 174), 'alpha': 1.4039861496653434, 'max_iter': 455, 'batch_size': 57, 'shuffle': False, 'beta_1': 0.12915798126344494, 'beta_2': 0.5484622721334196}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 6.482900869692404, 'activation': 'relu', 'hidden_layer_sizes': (27, 117, 182, 31), 'alpha': 6.339161295984591, 'max_iter': 400, 'batch_size': 80, 'shuffle': True, 'momentum': 0.31577395294201693, 'nesterovs_momentum': True}"
5,"{'solver': 'adam', 'learning_rate_init': 2.667031550725755, 'activation': 'logistic', 'hidden_layer_sizes': (91, 24, 133), 'alpha': 5.048375746155263, 'max_iter': 20, 'batch_size': 77, 'shuffle': False, 'beta_1': 0.5443718840979481, 'beta_2': 0.9899923250632514}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.038711416393008666, 'activation': 'tanh', 'hidden_layer_sizes': (98,), 'alpha': 3.0039420139408377, 'max_iter': 153, 'batch_size': 63, 'shuffle': False, 'momentum': 0.938589191062865, 'nesterovs_momentum': True}"
6,"{'solver': 'adam', 'learning_rate_init': 2.6268438825770906, 'activation': 'relu', 'hidden_layer_sizes': (115, 65, 56), 'alpha': 9.885388010704185, 'max_iter': 405, 'batch_size': 56, 'shuffle': False, 'beta_1': 0.5180376565757335, 'beta_2': 0.09012200232248233}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 2.136528205152597, 'activation': 'relu', 'hidden_layer_sizes': (167, 178, 51, 110), 'alpha': 1.477034366159628, 'max_iter': 413, 'batch_size': 50, 'shuffle': False, 'momentum': 0.4504573420300259, 'nesterovs_momentum': True}"
7,"{'solver': 'adam', 'learning_rate_init': 2.8839124530123215, 'activation': 'relu', 'hidden_layer_sizes': (95, 21, 102, 50, 193), 'alpha': 1.5336045773896545, 'max_iter': 341, 'batch_size': 79, 'shuffle': True, 'beta_1': 0.017764359578567344, 'beta_2': 0.5751286720398748}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.5702577496272638, 'activation': 'logistic', 'hidden_layer_sizes': (22,), 'alpha': 7.674940199042247, 'max_iter': 409, 'batch_size': 80, 'shuffle': False, 'momentum': 0.9370012120990643, 'nesterovs_momentum': False}"
8,"{'solver': 'adam', 'learning_rate_init': 6.643851168317262, 'activation': 'relu', 'hidden_layer_sizes': (53,), 'alpha': 6.843761115093592, 'max_iter': 54, 'batch_size': 74, 'shuffle': False, 'beta_1': 0.24887261784829873, 'beta_2': 0.24773892705051026}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 8.637240929964555, 'activation': 'tanh', 'hidden_layer_sizes': (93,), 'alpha': 8.983655363587689, 'max_iter': 235, 'batch_size': 99, 'shuffle': False, 'momentum': 0.8973801205070367, 'nesterovs_momentum': True}"
9,"{'solver': 'adam', 'learning_rate_init': 7.755181110570807, 'activation': 'relu', 'hidden_layer_sizes': (179,), 'alpha': 8.88498416067705, 'max_iter': 335, 'batch_size': 85, 'shuffle': True, 'beta_1': 0.27391328114721974, 'beta_2': 0.21421850608586468}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 7.038049218740103, 'activation': 'tanh', 'hidden_layer_sizes': (64, 178, 175), 'alpha': 7.247431957097423, 'max_iter': 38, 'batch_size': 68, 'shuffle': False, 'momentum': 0.930131256403933, 'nesterovs_momentum': False}"
