,MLP
0,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 8.403569394919314, 'activation': 'relu', 'hidden_layer_sizes': (153, 82), 'alpha': 8.34844289373547, 'max_iter': 255, 'batch_size': 76, 'shuffle': True, 'momentum': 0.6904644116583735, 'nesterovs_momentum': False}"
1,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.5826042056851668, 'activation': 'relu', 'hidden_layer_sizes': (121,), 'alpha': 8.719065406663074, 'max_iter': 237, 'batch_size': 60, 'shuffle': True, 'momentum': 0.911462171449718, 'nesterovs_momentum': True}"
2,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 8.521006727642522, 'activation': 'logistic', 'hidden_layer_sizes': (45, 129, 27, 108, 135), 'alpha': 5.562421823342328, 'max_iter': 118, 'batch_size': 86, 'shuffle': False, 'momentum': 0.9559478374677575, 'nesterovs_momentum': False}"
3,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.2878501231154684, 'activation': 'tanh', 'hidden_layer_sizes': (190, 170), 'alpha': 1.276771260716304, 'max_iter': 45, 'batch_size': 61, 'shuffle': True, 'momentum': 0.4467833786325689, 'nesterovs_momentum': True}"
4,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 6.482900869692404, 'activation': 'relu', 'hidden_layer_sizes': (27, 117, 182, 31), 'alpha': 6.339161295984591, 'max_iter': 400, 'batch_size': 80, 'shuffle': True, 'momentum': 0.31577395294201693, 'nesterovs_momentum': True}"
5,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.038711416393008666, 'activation': 'tanh', 'hidden_layer_sizes': (98,), 'alpha': 3.0039420139408377, 'max_iter': 153, 'batch_size': 63, 'shuffle': False, 'momentum': 0.938589191062865, 'nesterovs_momentum': True}"
6,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 2.136528205152597, 'activation': 'relu', 'hidden_layer_sizes': (167, 178, 51, 110), 'alpha': 1.477034366159628, 'max_iter': 413, 'batch_size': 50, 'shuffle': False, 'momentum': 0.4504573420300259, 'nesterovs_momentum': True}"
7,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.5702577496272638, 'activation': 'logistic', 'hidden_layer_sizes': (22,), 'alpha': 7.674940199042247, 'max_iter': 409, 'batch_size': 80, 'shuffle': False, 'momentum': 0.9370012120990643, 'nesterovs_momentum': False}"
8,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 8.637240929964555, 'activation': 'tanh', 'hidden_layer_sizes': (93,), 'alpha': 8.983655363587689, 'max_iter': 235, 'batch_size': 99, 'shuffle': False, 'momentum': 0.8973801205070367, 'nesterovs_momentum': True}"
9,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 7.038049218740103, 'activation': 'tanh', 'hidden_layer_sizes': (64, 178, 175), 'alpha': 7.247431957097423, 'max_iter': 38, 'batch_size': 68, 'shuffle': False, 'momentum': 0.930131256403933, 'nesterovs_momentum': False}"
10,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.0350911059893071, 'activation': 'tanh', 'hidden_layer_sizes': (11, 129), 'alpha': 3.009012011432527, 'max_iter': 172, 'batch_size': 60, 'shuffle': False, 'momentum': 0.971065774995204, 'nesterovs_momentum': True}"
11,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.18541086213010669, 'activation': 'tanh', 'hidden_layer_sizes': (152, 102, 95, 172, 65), 'alpha': 2.7986462344117355, 'max_iter': 337, 'batch_size': 71, 'shuffle': False, 'momentum': 0.2690327395046443, 'nesterovs_momentum': False}"
12,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 9.543316567554216, 'activation': 'relu', 'hidden_layer_sizes': (43, 62, 194, 39), 'alpha': 1.55022819156582, 'max_iter': 181, 'batch_size': 59, 'shuffle': True, 'momentum': 0.13948862519480765, 'nesterovs_momentum': True}"
