,MLP (SGD)
0,0.6904644116583735
1,0.911462171449718
2,0.9559478374677575
3,0.4467833786325689
4,0.31577395294201693
5,0.938589191062865
6,0.4504573420300259
7,0.9370012120990643
8,0.8973801205070367
9,0.930131256403933
10,0.971065774995204
11,0.2690327395046443
12,0.13948862519480765
13,0.5508116143618306
14,0.8291978344189239
15,0.7366269147550374
16,0.5757558120710011
17,0.7256740753349536
18,0.025310468572119705
19,0.047943470196999446
20,0.19832216301175898
21,0.062125191948231934
22,0.04545346000980026
23,0.028783850368120523
24,0.3107253207090881
25,0.40837029102163647
26,0.24825973891532957
27,0.7187908503586214
28,0.375316866532429
29,0.23137931246659435
