,SLM
0,0.56
1,0.81
2,0.63
3,0.655
4,0.645
5,0.615
6,0.705
7,0.6368159203980099
8,0.7611940298507462
9,0.7611940298507462
10,0.7512437810945274
11,0.6915422885572139
12,0.6766169154228856
13,0.6368159203980099
14,0.5920398009950248
15,0.7711442786069652
16,0.582089552238806
17,0.7910447761194029
18,0.6716417910447762
19,0.746268656716418
20,0.6069651741293532
21,0.693069306930693
22,0.6287128712871287
23,0.6831683168316832
24,0.6039603960396039
25,0.6237623762376238
26,0.6287128712871287
27,0.693069306930693
28,0.6188118811881188
29,0.6237623762376238
