,"SLM (BLS) + TIE, SLM (BLS) + EDV","SLM (OLS), SLM (OLS) + RST, SLM (OLS) + RWT","SLM (BLS), SLM (BLS) + RST, SLM (BLS) + RWT",SLM (OLS) + EDV
0,2,172,453,1
1,4,187,222,5
2,1,195,455,1
3,1,248,391,1
4,1,307,460,2
5,2,458,482,1
6,87,472,317,1
7,1,472,400,1
8,3,276,293,8
9,4,401,198,6
10,4,330,319,1
11,8,139,305,2
12,1,257,431,1
13,1,460,170,3
14,1,86,292,1
15,4,380,272,6
16,6,366,278,1
17,3,495,454,10
18,4,446,150,3
19,1,301,446,2
20,1,484,469,1
21,1,424,464,1
22,1,361,469,1
23,2,372,478,1
24,1,410,342,1
25,7,317,403,1
26,7,276,478,1
27,2,430,162,1
28,3,412,323,1
29,2,172,304,1
