,MLP (ADAM),MLP (SGD)
0,"{'solver': 'adam', 'learning_rate_init': 5.534170650424631, 'activation': 'tanh', 'hidden_layer_sizes': (87,), 'alpha': 3.7647734884041157, 'max_iter': 315, 'batch_size': 2212, 'shuffle': True, 'beta_1': 0.3613080465589322, 'beta_2': 0.8625082602581051}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 9.613589132176177, 'activation': 'relu', 'hidden_layer_sizes': (188, 110, 121, 65, 200), 'alpha': 4.000359199957209, 'max_iter': 362, 'batch_size': 1660, 'shuffle': True, 'momentum': 0.24865856411725118, 'nesterovs_momentum': True}"
1,"{'solver': 'adam', 'learning_rate_init': 3.964253461956345, 'activation': 'relu', 'hidden_layer_sizes': (135,), 'alpha': 7.282859078187517, 'max_iter': 349, 'batch_size': 1012, 'shuffle': False, 'beta_1': 0.35504667419907093, 'beta_2': 0.4411238512266752}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 9.257711980003332, 'activation': 'relu', 'hidden_layer_sizes': (40, 196, 77, 80), 'alpha': 4.493381045470844, 'max_iter': 107, 'batch_size': 2220, 'shuffle': False, 'momentum': 0.47794461028059365, 'nesterovs_momentum': False}"
2,"{'solver': 'adam', 'learning_rate_init': 0.01464902706562872, 'activation': 'relu', 'hidden_layer_sizes': (85, 87, 32, 166), 'alpha': 0.9538710243650478, 'max_iter': 231, 'batch_size': 370, 'shuffle': False, 'beta_1': 0.2728974492800273, 'beta_2': 0.7636663122496546}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 4.346681097507186, 'activation': 'tanh', 'hidden_layer_sizes': (57, 154), 'alpha': 7.453691098962109, 'max_iter': 263, 'batch_size': 1186, 'shuffle': False, 'momentum': 0.9012753193088731, 'nesterovs_momentum': False}"
3,"{'solver': 'adam', 'learning_rate_init': 5.060286205716998, 'activation': 'relu', 'hidden_layer_sizes': (76, 191), 'alpha': 4.3679387268987115, 'max_iter': 437, 'batch_size': 1899, 'shuffle': False, 'beta_1': 0.6790888265148107, 'beta_2': 0.25040997179133845}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.4768144591610586, 'activation': 'relu', 'hidden_layer_sizes': (76, 92, 159, 24, 156), 'alpha': 9.211135264105092, 'max_iter': 373, 'batch_size': 2193, 'shuffle': False, 'momentum': 0.2861199596558831, 'nesterovs_momentum': False}"
4,"{'solver': 'adam', 'learning_rate_init': 2.151015078523309, 'activation': 'logistic', 'hidden_layer_sizes': (21,), 'alpha': 4.293134916479645, 'max_iter': 60, 'batch_size': 70, 'shuffle': False, 'beta_1': 0.21851882620244795, 'beta_2': 0.8012602787675587}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 2.1906848600007995, 'activation': 'relu', 'hidden_layer_sizes': (149, 63, 141, 200, 144), 'alpha': 7.633290102084628, 'max_iter': 220, 'batch_size': 63, 'shuffle': True, 'momentum': 0.5737258886208054, 'nesterovs_momentum': False}"
5,"{'solver': 'adam', 'learning_rate_init': 5.07651663446655, 'activation': 'relu', 'hidden_layer_sizes': (184,), 'alpha': 9.26706111238875, 'max_iter': 417, 'batch_size': 1450, 'shuffle': False, 'beta_1': 0.7859638750481743, 'beta_2': 0.7441440465605242}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.16949978358236875, 'activation': 'logistic', 'hidden_layer_sizes': (68, 125, 51, 109, 102), 'alpha': 6.14964838971917, 'max_iter': 258, 'batch_size': 1301, 'shuffle': True, 'momentum': 0.4898678782810644, 'nesterovs_momentum': True}"
6,"{'solver': 'adam', 'learning_rate_init': 7.562412482617258, 'activation': 'tanh', 'hidden_layer_sizes': (16, 178, 51, 69, 144), 'alpha': 1.5198294629015225, 'max_iter': 288, 'batch_size': 1811, 'shuffle': False, 'beta_1': 0.5607704666795763, 'beta_2': 0.06169019652895083}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 3.1009805885520887, 'activation': 'logistic', 'hidden_layer_sizes': (174, 45, 10), 'alpha': 9.34356804757847, 'max_iter': 39, 'batch_size': 1559, 'shuffle': True, 'momentum': 0.017720411145310814, 'nesterovs_momentum': True}"
7,"{'solver': 'adam', 'learning_rate_init': 8.702990037800062, 'activation': 'relu', 'hidden_layer_sizes': (14,), 'alpha': 7.093844601767376, 'max_iter': 24, 'batch_size': 259, 'shuffle': False, 'beta_1': 0.08009887162455821, 'beta_2': 0.4440947077188947}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.49684050590724277, 'activation': 'logistic', 'hidden_layer_sizes': (45, 166, 112), 'alpha': 2.1477767961896754, 'max_iter': 76, 'batch_size': 579, 'shuffle': True, 'momentum': 0.618949056853969, 'nesterovs_momentum': True}"
8,"{'solver': 'adam', 'learning_rate_init': 0.1285178314072239, 'activation': 'relu', 'hidden_layer_sizes': (39,), 'alpha': 8.459803198526412, 'max_iter': 35, 'batch_size': 1398, 'shuffle': False, 'beta_1': 0.7358668596392567, 'beta_2': 0.5804610424658043}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.9208557121961571, 'activation': 'logistic', 'hidden_layer_sizes': (116, 35), 'alpha': 2.577909513664964, 'max_iter': 227, 'batch_size': 1653, 'shuffle': True, 'momentum': 0.06277655951013006, 'nesterovs_momentum': False}"
9,"{'solver': 'adam', 'learning_rate_init': 0.10910305848148343, 'activation': 'logistic', 'hidden_layer_sizes': (159, 123), 'alpha': 2.089703311693454, 'max_iter': 220, 'batch_size': 1582, 'shuffle': False, 'beta_1': 0.8316495330818161, 'beta_2': 0.47776908322533307}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.6027165279160033, 'activation': 'logistic', 'hidden_layer_sizes': (158, 77), 'alpha': 5.479838470017323, 'max_iter': 266, 'batch_size': 1291, 'shuffle': True, 'momentum': 0.8408309858313303, 'nesterovs_momentum': False}"
