,MLP (SGD)
0,0.24865856411725118
1,0.47794461028059365
2,0.9012753193088731
3,0.2861199596558831
4,0.5737258886208054
5,0.4898678782810644
6,0.017720411145310814
7,0.618949056853969
8,0.06277655951013006
9,0.8408309858313303
10,0.19209509644354666
11,0.15422844854489104
12,0.5386801547785262
13,0.5450850830200075
14,0.04249113479651345
15,0.1949859518361794
16,0.3161683483454856
17,0.48781361149214986
18,0.8013812936667042
19,0.055055262821883715
20,0.47705267344599817
21,0.03350408356034495
22,0.8196682373549679
23,0.10666792645839887
24,0.5929167563475153
25,0.019584590230011703
26,0.7887334687016223
27,0.9260841262546068
28,0.027448732884030207
29,0.7231821714920572
