,"SLM (BLS) + TIE, SLM (BLS) + EDV","SLM (OLS), SLM (OLS) + RST, SLM (OLS) + RWT","SLM (BLS), SLM (BLS) + RST, SLM (BLS) + RWT",SLM (OLS) + EDV
0,97,13447,1925,55
1,152,208526,76770,227
2,67,396668,57570,262
3,396,11948,15813,50
4,156,13472,10194,30
5,76,10697,22085,713
6,144,158969,171705,66
7,144,543739,3216,56
8,236,12127,5713,35
9,598,66511,33139,69
10,221,10484,2532,296
11,61,11179,8213,124
12,109,14635,3664,71
13,96,68234,19096,16
14,295,5998,3592,18
15,170,121466,2087,762
16,556,109415,27040,46
17,309,372806,4440,37
18,73,11685,97949,135
19,151,83140,28382,505
20,95,13175,15348,51
21,668,388992,39458,279
22,140,27638,51292,193
23,177,136597,5410,62
24,307,98667,16995,318
25,347,119258,12475,350
26,485,13402,39327,54
27,427,195514,182481,676
28,77,181345,21837,393
29,74,122204,82984,32
