,"SLM (BLS) + TIE, SLM (BLS) + EDV","SLM (OLS), SLM (OLS) + RST, SLM (OLS) + RWT","SLM (BLS), SLM (BLS) + RST, SLM (BLS) + RWT",SLM (OLS) + EDV
0,1,447,166,2
1,1,345,407,8
2,2,494,159,9
3,18,384,466,1
4,4,443,417,1
5,1,370,424,28
6,5,489,468,1
7,5,451,297,1
8,2,427,170,1
9,18,290,416,2
10,1,345,297,13
11,1,413,343,4
12,2,495,419,1
13,1,306,493,1
14,2,227,311,1
15,4,409,147,32
16,5,386,456,1
17,2,476,58,1
18,1,401,463,1
19,3,342,407,23
20,4,459,187,1
21,6,480,429,8
22,2,171,500,1
23,5,436,355,1
24,2,380,471,2
25,1,415,366,16
26,7,456,455,1
27,13,335,281,27
28,1,321,343,11
29,1,429,392,2
