,"SLM (BLS) + TIE, SLM (BLS) + EDV","SLM (OLS), SLM (OLS) + RST, SLM (OLS) + RWT","SLM (BLS), SLM (BLS) + RST, SLM (BLS) + RWT",SLM (OLS) + EDV
0,6,448,135,3
1,8,1737,1116,9
2,3,2415,1060,10
3,19,385,457,2
4,5,444,282,2
5,2,371,574,29
6,6,1472,1894,2
7,6,3124,125,2
8,11,428,189,2
9,19,867,667,3
10,7,346,87,14
11,2,414,304,5
12,3,496,126,2
13,6,896,447,2
14,12,228,131,2
15,5,1234,74,33
16,37,1175,703,2
17,25,2352,185,2
18,2,402,1172,6
19,4,1023,561,24
20,5,460,364,2
21,42,2423,856,9
22,3,523,838,7
23,6,1312,172,2
24,27,1099,491,13
25,21,1246,398,17
26,25,457,783,2
27,14,1683,1781,28
28,2,1597,620,12
29,2,1286,1170,3
