,MLP (ADAM),MLP (SGD)
0,"{'solver': 'adam', 'learning_rate_init': 1.80262135449898, 'activation': 'logistic', 'hidden_layer_sizes': (121, 46, 142, 56), 'alpha': 5.98168977177835, 'max_iter': 488, 'batch_size': 113, 'shuffle': False, 'beta_1': 0.7812974832437019, 'beta_2': 0.8777077873055016}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 5.672917662880677, 'activation': 'logistic', 'hidden_layer_sizes': (82, 144, 17, 116), 'alpha': 5.953188656381326, 'max_iter': 488, 'batch_size': 51, 'shuffle': True, 'momentum': 0.9726398626266952, 'nesterovs_momentum': True}"
1,"{'solver': 'adam', 'learning_rate_init': 4.469921076918196, 'activation': 'logistic', 'hidden_layer_sizes': (163,), 'alpha': 9.331285355693913, 'max_iter': 45, 'batch_size': 66, 'shuffle': True, 'beta_1': 0.3564252135308689, 'beta_2': 0.5093950112896934}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.6066177778875527, 'activation': 'tanh', 'hidden_layer_sizes': (171, 47, 177, 1), 'alpha': 5.270495713903097, 'max_iter': 496, 'batch_size': 134, 'shuffle': True, 'momentum': 0.37882558349007006, 'nesterovs_momentum': True}"
2,"{'solver': 'adam', 'learning_rate_init': 5.3879012245293945, 'activation': 'relu', 'hidden_layer_sizes': (135, 106, 84), 'alpha': 5.519112888195878, 'max_iter': 451, 'batch_size': 133, 'shuffle': False, 'beta_1': 0.020928616223746806, 'beta_2': 0.09430537089371958}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.2810156700672145, 'activation': 'relu', 'hidden_layer_sizes': (196, 195), 'alpha': 5.237610803013527, 'max_iter': 329, 'batch_size': 162, 'shuffle': False, 'momentum': 0.08958335232801796, 'nesterovs_momentum': False}"
3,"{'solver': 'adam', 'learning_rate_init': 4.541053575185526, 'activation': 'logistic', 'hidden_layer_sizes': (32,), 'alpha': 1.3030721483944447, 'max_iter': 496, 'batch_size': 74, 'shuffle': True, 'beta_1': 0.3051496889050455, 'beta_2': 0.12270057561088916}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 3.9118208714689486, 'activation': 'logistic', 'hidden_layer_sizes': (187,), 'alpha': 3.6908365098659006, 'max_iter': 27, 'batch_size': 166, 'shuffle': False, 'momentum': 0.005548570130972472, 'nesterovs_momentum': True}"
4,"{'solver': 'adam', 'learning_rate_init': 0.847485234254163, 'activation': 'logistic', 'hidden_layer_sizes': (7, 104, 157), 'alpha': 6.072359455578367, 'max_iter': 194, 'batch_size': 164, 'shuffle': True, 'beta_1': 0.33656230102641704, 'beta_2': 0.07916341294151502}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.2991261424349938, 'activation': 'relu', 'hidden_layer_sizes': (55, 189), 'alpha': 4.939851483967384, 'max_iter': 399, 'batch_size': 161, 'shuffle': True, 'momentum': 0.15065397444501866, 'nesterovs_momentum': False}"
5,"{'solver': 'adam', 'learning_rate_init': 1.2780112376884256, 'activation': 'tanh', 'hidden_layer_sizes': (38, 33), 'alpha': 6.438370828665566, 'max_iter': 158, 'batch_size': 111, 'shuffle': False, 'beta_1': 0.4875559437622339, 'beta_2': 0.5800309753425275}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 8.58539863883969, 'activation': 'tanh', 'hidden_layer_sizes': (150,), 'alpha': 6.800448026103031, 'max_iter': 62, 'batch_size': 84, 'shuffle': True, 'momentum': 0.28436836641984914, 'nesterovs_momentum': True}"
6,"{'solver': 'adam', 'learning_rate_init': 2.653015042682535, 'activation': 'logistic', 'hidden_layer_sizes': (56, 8, 103, 102), 'alpha': 8.319473289467966, 'max_iter': 47, 'batch_size': 128, 'shuffle': True, 'beta_1': 0.9881209003585402, 'beta_2': 0.10802658064901267}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 8.083007626401592, 'activation': 'tanh', 'hidden_layer_sizes': (190, 65, 190, 159, 184), 'alpha': 8.002092844738712, 'max_iter': 498, 'batch_size': 144, 'shuffle': True, 'momentum': 0.7315497867728703, 'nesterovs_momentum': True}"
7,"{'solver': 'adam', 'learning_rate_init': 8.072918078749215, 'activation': 'logistic', 'hidden_layer_sizes': (44, 61), 'alpha': 0.9966448361943419, 'max_iter': 165, 'batch_size': 134, 'shuffle': True, 'beta_1': 0.8490915821390005, 'beta_2': 0.5616346488815949}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 2.8925797975626697, 'activation': 'relu', 'hidden_layer_sizes': (40, 177, 24), 'alpha': 1.072380046397664, 'max_iter': 383, 'batch_size': 89, 'shuffle': False, 'momentum': 0.9671009256446593, 'nesterovs_momentum': False}"
8,"{'solver': 'adam', 'learning_rate_init': 1.3707672805189195, 'activation': 'relu', 'hidden_layer_sizes': (30, 142, 106, 54), 'alpha': 8.754688528392597, 'max_iter': 156, 'batch_size': 155, 'shuffle': True, 'beta_1': 0.8129151159164296, 'beta_2': 0.1580626478383071}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 2.857604649194408, 'activation': 'logistic', 'hidden_layer_sizes': (195,), 'alpha': 7.4436926520603555, 'max_iter': 433, 'batch_size': 166, 'shuffle': True, 'momentum': 0.4473676757904105, 'nesterovs_momentum': False}"
9,"{'solver': 'adam', 'learning_rate_init': 7.3561319049005816, 'activation': 'relu', 'hidden_layer_sizes': (50,), 'alpha': 4.255169998232483, 'max_iter': 180, 'batch_size': 68, 'shuffle': False, 'beta_1': 0.7024014808953178, 'beta_2': 0.4908087309973142}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.3530549540989683, 'activation': 'logistic', 'hidden_layer_sizes': (144, 20, 59, 59), 'alpha': 9.746434471314856, 'max_iter': 158, 'batch_size': 141, 'shuffle': False, 'momentum': 0.13451995100793293, 'nesterovs_momentum': False}"
