,MLP
0,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 5.672917662880677, 'activation': 'logistic', 'hidden_layer_sizes': (82, 144, 17, 116), 'alpha': 5.953188656381326, 'max_iter': 488, 'batch_size': 51, 'shuffle': True, 'momentum': 0.9726398626266952, 'nesterovs_momentum': True}"
1,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.6066177778875527, 'activation': 'tanh', 'hidden_layer_sizes': (171, 47, 177, 1), 'alpha': 5.270495713903097, 'max_iter': 496, 'batch_size': 134, 'shuffle': True, 'momentum': 0.37882558349007006, 'nesterovs_momentum': True}"
2,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.2810156700672145, 'activation': 'relu', 'hidden_layer_sizes': (196, 195), 'alpha': 5.237610803013527, 'max_iter': 329, 'batch_size': 162, 'shuffle': False, 'momentum': 0.08958335232801796, 'nesterovs_momentum': False}"
3,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 3.9118208714689486, 'activation': 'logistic', 'hidden_layer_sizes': (187,), 'alpha': 3.6908365098659006, 'max_iter': 27, 'batch_size': 166, 'shuffle': False, 'momentum': 0.005548570130972472, 'nesterovs_momentum': True}"
4,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.2991261424349938, 'activation': 'relu', 'hidden_layer_sizes': (55, 189), 'alpha': 4.939851483967384, 'max_iter': 399, 'batch_size': 161, 'shuffle': True, 'momentum': 0.15065397444501866, 'nesterovs_momentum': False}"
5,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 8.58539863883969, 'activation': 'tanh', 'hidden_layer_sizes': (150,), 'alpha': 6.800448026103031, 'max_iter': 62, 'batch_size': 84, 'shuffle': True, 'momentum': 0.28436836641984914, 'nesterovs_momentum': True}"
6,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 8.083007626401592, 'activation': 'tanh', 'hidden_layer_sizes': (190, 65, 190, 159, 184), 'alpha': 8.002092844738712, 'max_iter': 498, 'batch_size': 144, 'shuffle': True, 'momentum': 0.7315497867728703, 'nesterovs_momentum': True}"
7,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 2.8925797975626697, 'activation': 'relu', 'hidden_layer_sizes': (40, 177, 24), 'alpha': 1.072380046397664, 'max_iter': 383, 'batch_size': 89, 'shuffle': False, 'momentum': 0.9671009256446593, 'nesterovs_momentum': False}"
8,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 2.857604649194408, 'activation': 'logistic', 'hidden_layer_sizes': (195,), 'alpha': 7.4436926520603555, 'max_iter': 433, 'batch_size': 166, 'shuffle': True, 'momentum': 0.4473676757904105, 'nesterovs_momentum': False}"
9,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.3530549540989683, 'activation': 'logistic', 'hidden_layer_sizes': (144, 20, 59, 59), 'alpha': 9.746434471314856, 'max_iter': 158, 'batch_size': 141, 'shuffle': False, 'momentum': 0.13451995100793293, 'nesterovs_momentum': False}"
