,MLP (ADAM)
0,0.8777077873055016
1,0.5093950112896934
2,0.09430537089371958
3,0.12270057561088916
4,0.07916341294151502
5,0.5800309753425275
6,0.10802658064901267
7,0.5616346488815949
8,0.1580626478383071
9,0.4908087309973142
10,0.8139572821999566
11,0.5452125917806748
12,0.4494468178323699
13,0.5486513176800876
14,0.817037786940727
15,0.16433819726761217
16,0.709678085586994
17,0.18474819113021662
18,0.7034155309587092
19,0.52461913518294
20,0.972194554867376
21,0.2983130909767654
22,0.9877420004942062
23,0.20664058876714583
24,0.6668632952893024
25,0.40557204282441023
26,0.6582090106803138
27,0.23011064639702272
28,0.45242829245305444
29,0.11258091410147235
