,SLM
0,0.7291666666666666
1,0.7291666666666666
2,0.7291666666666666
3,0.7291666666666666
4,0.7291666666666666
5,0.7270029673590505
6,0.7270029673590505
7,0.7270029673590505
8,0.7270029673590505
9,0.7270029673590505
10,0.7270029673590505
11,0.7270029673590505
12,0.7270029673590505
13,0.7270029673590505
14,0.727810650887574
15,0.727810650887574
16,0.7218934911242604
17,0.727810650887574
18,0.727810650887574
19,0.727810650887574
20,0.727810650887574
21,0.7248520710059172
22,0.727810650887574
23,0.727810650887574
24,0.727810650887574
25,0.7366863905325444
26,0.727810650887574
27,0.727810650887574
28,0.727810650887574
29,0.727810650887574
