,"SLM (BLS) + TIE, SLM (BLS) + EDV","SLM (OLS), SLM (OLS) + RST, SLM (OLS) + RWT","SLM (BLS), SLM (BLS) + RST, SLM (BLS) + RWT",SLM (OLS) + EDV
0,8,1794,830,11
1,8,1050,122,20
2,4,1395,277,10
3,7,2621,334,10
4,2,2347,173,13
5,35,774,1634,13
6,2,3218,2142,37
7,11,2220,222,15
8,14,720,223,27
9,3,2793,906,15
10,9,2363,443,11
11,2,1719,255,9
12,20,4322,138,10
13,2,4430,96,11
14,18,1500,151,10
15,9,1667,1482,16
16,21,1440,744,14
17,25,4062,164,33
18,14,2380,703,22
19,25,1468,1624,20
20,27,1199,375,22
21,2,2436,634,17
22,15,3698,86,14
23,5,1128,156,28
24,11,906,107,16
25,10,1393,1907,15
26,13,1395,333,21
27,41,1494,1847,14
28,17,1223,330,25
29,2,2524,69,26
