,MLP (ADAM),MLP (SGD)
0,"{'solver': 'adam', 'learning_rate_init': 7.5546960507429874, 'activation': 'relu', 'hidden_layer_sizes': (102, 163, 24, 87), 'alpha': 4.322710677238593, 'max_iter': 119, 'batch_size': 110, 'shuffle': True, 'beta_1': 0.4067387845810142, 'beta_2': 0.036501492957253766}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.7674560780306314, 'activation': 'tanh', 'hidden_layer_sizes': (196,), 'alpha': 5.717673151973698, 'max_iter': 221, 'batch_size': 154, 'shuffle': True, 'momentum': 0.5595084199006953, 'nesterovs_momentum': True}"
1,"{'solver': 'adam', 'learning_rate_init': 7.134867284221525, 'activation': 'relu', 'hidden_layer_sizes': (179, 100, 135), 'alpha': 6.711959888231454, 'max_iter': 83, 'batch_size': 413, 'shuffle': True, 'beta_1': 0.4567477921444678, 'beta_2': 0.878725958912735}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.0876941472054344, 'activation': 'logistic', 'hidden_layer_sizes': (192, 93), 'alpha': 1.4499305463968262, 'max_iter': 78, 'batch_size': 295, 'shuffle': False, 'momentum': 0.280680793135817, 'nesterovs_momentum': True}"
2,"{'solver': 'adam', 'learning_rate_init': 0.9409761604895722, 'activation': 'tanh', 'hidden_layer_sizes': (99,), 'alpha': 0.19754613128780868, 'max_iter': 263, 'batch_size': 132, 'shuffle': True, 'beta_1': 0.5078140564573307, 'beta_2': 0.3446875534600637}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.9429376795328973, 'activation': 'logistic', 'hidden_layer_sizes': (158, 94, 6, 146, 74), 'alpha': 5.6039150255333725, 'max_iter': 210, 'batch_size': 382, 'shuffle': False, 'momentum': 0.9197576107398568, 'nesterovs_momentum': True}"
3,"{'solver': 'adam', 'learning_rate_init': 9.567347449801703, 'activation': 'relu', 'hidden_layer_sizes': (152,), 'alpha': 7.90297112858001, 'max_iter': 346, 'batch_size': 327, 'shuffle': True, 'beta_1': 0.7964046478717555, 'beta_2': 0.6327177042913009}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 5.192431893568325, 'activation': 'tanh', 'hidden_layer_sizes': (114, 11, 190), 'alpha': 8.99861748250717, 'max_iter': 122, 'batch_size': 200, 'shuffle': False, 'momentum': 0.267247180816819, 'nesterovs_momentum': True}"
4,"{'solver': 'adam', 'learning_rate_init': 9.587609337930902, 'activation': 'relu', 'hidden_layer_sizes': (138,), 'alpha': 1.5568967683706108, 'max_iter': 248, 'batch_size': 223, 'shuffle': True, 'beta_1': 0.14481063516669485, 'beta_2': 0.9877952815359747}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.46388569880134034, 'activation': 'tanh', 'hidden_layer_sizes': (106, 190, 40), 'alpha': 8.461148038090414, 'max_iter': 45, 'batch_size': 198, 'shuffle': False, 'momentum': 0.25632689033200884, 'nesterovs_momentum': True}"
5,"{'solver': 'adam', 'learning_rate_init': 7.5235897726593235, 'activation': 'relu', 'hidden_layer_sizes': (176,), 'alpha': 8.129135715561207, 'max_iter': 369, 'batch_size': 189, 'shuffle': False, 'beta_1': 0.07855873208590299, 'beta_2': 0.8868629911180588}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.61201190252811, 'activation': 'tanh', 'hidden_layer_sizes': (103, 125, 118, 102, 17), 'alpha': 0.8966535263165999, 'max_iter': 293, 'batch_size': 290, 'shuffle': True, 'momentum': 0.21662469688425925, 'nesterovs_momentum': False}"
6,"{'solver': 'adam', 'learning_rate_init': 6.797283095707087, 'activation': 'relu', 'hidden_layer_sizes': (109, 121, 127), 'alpha': 5.991352782273322, 'max_iter': 286, 'batch_size': 428, 'shuffle': True, 'beta_1': 0.25174437728759286, 'beta_2': 0.7895592366494772}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.8218282740931409, 'activation': 'relu', 'hidden_layer_sizes': (184, 128), 'alpha': 0.41995683612791634, 'max_iter': 439, 'batch_size': 405, 'shuffle': True, 'momentum': 0.27330167212152173, 'nesterovs_momentum': False}"
7,"{'solver': 'adam', 'learning_rate_init': 7.110824972053873, 'activation': 'relu', 'hidden_layer_sizes': (159,), 'alpha': 0.6476360685738931, 'max_iter': 350, 'batch_size': 429, 'shuffle': False, 'beta_1': 0.7226878331841687, 'beta_2': 0.9044320211459265}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 3.072828211529935, 'activation': 'tanh', 'hidden_layer_sizes': (31, 76), 'alpha': 7.074785612047533, 'max_iter': 1, 'batch_size': 198, 'shuffle': False, 'momentum': 0.6522943047883716, 'nesterovs_momentum': True}"
8,"{'solver': 'adam', 'learning_rate_init': 0.6280774817984316, 'activation': 'relu', 'hidden_layer_sizes': (84,), 'alpha': 1.3735459463182518, 'max_iter': 60, 'batch_size': 205, 'shuffle': True, 'beta_1': 0.23216939587539356, 'beta_2': 0.6408179668544035}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.1878705205002664, 'activation': 'logistic', 'hidden_layer_sizes': (95, 65), 'alpha': 5.179220487190473, 'max_iter': 33, 'batch_size': 291, 'shuffle': True, 'momentum': 0.015321358298437778, 'nesterovs_momentum': True}"
9,"{'solver': 'adam', 'learning_rate_init': 8.005531108477665, 'activation': 'tanh', 'hidden_layer_sizes': (67, 58), 'alpha': 4.252986312992514, 'max_iter': 336, 'batch_size': 303, 'shuffle': False, 'beta_1': 0.2475132112631257, 'beta_2': 0.2695499347847085}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.1967870393588858, 'activation': 'logistic', 'hidden_layer_sizes': (186, 39), 'alpha': 3.0304156059893526, 'max_iter': 396, 'batch_size': 184, 'shuffle': False, 'momentum': 0.5134475521302849, 'nesterovs_momentum': True}"
10,"{'solver': 'adam', 'learning_rate_init': 2.924332009486756, 'activation': 'tanh', 'hidden_layer_sizes': (41, 67, 26), 'alpha': 8.51644436784673, 'max_iter': 113, 'batch_size': 216, 'shuffle': False, 'beta_1': 0.10212633171834773, 'beta_2': 0.28574700056304664}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.7608465418876091, 'activation': 'tanh', 'hidden_layer_sizes': (68,), 'alpha': 0.30489354554034465, 'max_iter': 137, 'batch_size': 333, 'shuffle': True, 'momentum': 0.022625902579668147, 'nesterovs_momentum': False}"
11,"{'solver': 'adam', 'learning_rate_init': 3.870352879280892, 'activation': 'relu', 'hidden_layer_sizes': (109,), 'alpha': 3.2730367861897216, 'max_iter': 52, 'batch_size': 181, 'shuffle': True, 'beta_1': 0.3407573662459934, 'beta_2': 0.5390035044180743}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 4.251800999552147, 'activation': 'logistic', 'hidden_layer_sizes': (140, 93, 15, 59, 28), 'alpha': 9.239565036638721, 'max_iter': 302, 'batch_size': 379, 'shuffle': True, 'momentum': 0.04262463436586508, 'nesterovs_momentum': True}"
12,"{'solver': 'adam', 'learning_rate_init': 3.5257883350716317, 'activation': 'tanh', 'hidden_layer_sizes': (172,), 'alpha': 8.624809936836071, 'max_iter': 245, 'batch_size': 128, 'shuffle': True, 'beta_1': 0.672519336015608, 'beta_2': 0.09076752602778966}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 3.7184827676191348, 'activation': 'relu', 'hidden_layer_sizes': (167, 104), 'alpha': 1.886535926356045, 'max_iter': 37, 'batch_size': 121, 'shuffle': False, 'momentum': 0.36181258928046595, 'nesterovs_momentum': True}"
13,"{'solver': 'adam', 'learning_rate_init': 0.9980031361773463, 'activation': 'relu', 'hidden_layer_sizes': (147, 83), 'alpha': 2.4443589115166624, 'max_iter': 413, 'batch_size': 326, 'shuffle': True, 'beta_1': 0.9252112745562114, 'beta_2': 0.016634261988392605}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.20132225090405878, 'activation': 'tanh', 'hidden_layer_sizes': (100,), 'alpha': 2.0684412627894564, 'max_iter': 255, 'batch_size': 187, 'shuffle': False, 'momentum': 0.2512526811289082, 'nesterovs_momentum': False}"
14,"{'solver': 'adam', 'learning_rate_init': 2.6856393007725057, 'activation': 'relu', 'hidden_layer_sizes': (28, 161, 42), 'alpha': 5.358649340024608, 'max_iter': 274, 'batch_size': 390, 'shuffle': True, 'beta_1': 0.48133941924526136, 'beta_2': 0.7692125245046983}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.6826347227422929, 'activation': 'tanh', 'hidden_layer_sizes': (27, 13, 64, 128), 'alpha': 7.519566320403045, 'max_iter': 98, 'batch_size': 315, 'shuffle': False, 'momentum': 0.11335202475922025, 'nesterovs_momentum': True}"
