,MLP
0,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.7674560780306314, 'activation': 'tanh', 'hidden_layer_sizes': (196,), 'alpha': 5.717673151973698, 'max_iter': 221, 'batch_size': 154, 'shuffle': True, 'momentum': 0.5595084199006953, 'nesterovs_momentum': True}"
1,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.0876941472054344, 'activation': 'logistic', 'hidden_layer_sizes': (192, 93), 'alpha': 1.4499305463968262, 'max_iter': 78, 'batch_size': 295, 'shuffle': False, 'momentum': 0.280680793135817, 'nesterovs_momentum': True}"
2,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.9429376795328973, 'activation': 'logistic', 'hidden_layer_sizes': (158, 94, 6, 146, 74), 'alpha': 5.6039150255333725, 'max_iter': 210, 'batch_size': 382, 'shuffle': False, 'momentum': 0.9197576107398568, 'nesterovs_momentum': True}"
3,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 5.192431893568325, 'activation': 'tanh', 'hidden_layer_sizes': (114, 11, 190), 'alpha': 8.99861748250717, 'max_iter': 122, 'batch_size': 200, 'shuffle': False, 'momentum': 0.267247180816819, 'nesterovs_momentum': True}"
4,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.46388569880134034, 'activation': 'tanh', 'hidden_layer_sizes': (106, 190, 40), 'alpha': 8.461148038090414, 'max_iter': 45, 'batch_size': 198, 'shuffle': False, 'momentum': 0.25632689033200884, 'nesterovs_momentum': True}"
5,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.61201190252811, 'activation': 'tanh', 'hidden_layer_sizes': (103, 125, 118, 102, 17), 'alpha': 0.8966535263165999, 'max_iter': 293, 'batch_size': 290, 'shuffle': True, 'momentum': 0.21662469688425925, 'nesterovs_momentum': False}"
6,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.8218282740931409, 'activation': 'relu', 'hidden_layer_sizes': (184, 128), 'alpha': 0.41995683612791634, 'max_iter': 439, 'batch_size': 405, 'shuffle': True, 'momentum': 0.27330167212152173, 'nesterovs_momentum': False}"
7,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 3.072828211529935, 'activation': 'tanh', 'hidden_layer_sizes': (31, 76), 'alpha': 7.074785612047533, 'max_iter': 1, 'batch_size': 198, 'shuffle': False, 'momentum': 0.6522943047883716, 'nesterovs_momentum': True}"
8,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.1878705205002664, 'activation': 'logistic', 'hidden_layer_sizes': (95, 65), 'alpha': 5.179220487190473, 'max_iter': 33, 'batch_size': 291, 'shuffle': True, 'momentum': 0.015321358298437778, 'nesterovs_momentum': True}"
9,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.1967870393588858, 'activation': 'logistic', 'hidden_layer_sizes': (186, 39), 'alpha': 3.0304156059893526, 'max_iter': 396, 'batch_size': 184, 'shuffle': False, 'momentum': 0.5134475521302849, 'nesterovs_momentum': True}"
